chrom	classifiedWinEnd	Species	classifiedWinStart.x	beta	sample.x	classifiedWinStart.y	bigWinRange	pi	theta	TajimaD	distVar	distSkew	distKurt	nDiplos	H1	H12	H2.H1	ZnS	omega	sample.y	NORMPOS
I	1050000	C.elegans	1000000	1.26423	CE	950001	1000001-1100000	0.00153373760660948	0.000839419855959448	2.94772960045891	1.65128414029799e-06	-0.352972480435657	-1.75157785607161	9	0.201530612244898	0.344387755102041	0.59493670886076	0.047958598	1.17717785021536	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.0684873384196162
I	10550000	C.elegans	10500000	0	CE	10450001	10500001-10600000	1.56380054745213e-05	1.02195173861554e-05	1.17412208765047	1.85153729507715e-10	0.103605730440329	-1.31900182810454	4	0.375	0.696428571428571	0.333333333333333	0.06711619	0	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.688134686025667
I	10550000	C.remanei	10500000	0.916844	CR	10450001	10500001-10600000	0.00817084163094463	0.00814964610466978	0.0102933962667521	1.14884380546392e-05	-0.414141587348778	-0.541764776957551	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.096229434	1.26823631768432	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.611681256665804
I	10650000	C.elegans	10600000	1.24211	CE	10550001	10600001-10700000	0.000562023137125808	0.000247619013944743	4.44362265904918	2.83880784898949e-07	-0.0640004281594675	-1.98923861888241	12	0.158163265306122	0.25	0.346774193548387	0.8396211	74.9984491354344	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.694657289684678
I	10650000	C.remanei	10600000	0.802069	CR	10550001	10600001-10700000	0.00697759837375998	0.00697899374312092	-0.000791170504296402	7.0911892410244e-06	-0.5952752319906	-0.144402774488414	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.10061084	1.29266481024767	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.617479183269271
I	10750000	C.elegans	10700000	1.82027	CE	10650001	10700001-10800000	0.000747403659463868	0.000321251798980095	4.67466525362106	5.42777428222946e-07	-0.0637204201247037	-1.99568200674425	4	0.436224489795918	0.864795918367347	0.426900584795322	0.9655324	1.00932529732616	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.701179893343689
I	10750000	C.remanei	10700000	1.63945	CR	10650001	10700001-10800000	0.00811065848043957	0.00819332711385914	-0.0399345096155602	1.12062059667987e-05	0.450369049240217	-0.556568065194626	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.10586852	2.0656451415418	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.623277109872738
I	10850000	C.elegans	10800000	1.26089	CE	10750001	10800001-10900000	0.000710739681176963	0.000321222086266446	4.26830126424686	4.73778320961062e-07	-0.063306229537641	-1.99273896944566	12	0.183673469387755	0.311224489795918	0.305555555555556	0.34729442	1.22490344729297	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.707702497002701
I	10850000	C.remanei	10800000	1.21377	CR	10750001	10800001-10900000	0.0098107055339424	0.00887745208004246	0.416109392933561	1.45169818263711e-05	-1.09669583379228	1.72431107312655	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.076214954	1.52208954569163	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.629075036476206
I	10950000	C.elegans	10900000	1.23857	CE	10850001	10900001-11000000	0.000691424831903136	0.000368158567091916	3.07993581593208	4.09972533170035e-07	-0.0517231568887894	-1.9016823367445	22	0.0612244897959184	0.0918367346938776	0.666666666666667	0.019871436	1.16470434671599	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.714225100661712
I	10950000	C.remanei	10900000	1.93115	CR	10850001	10900001-11000000	0.00626395581165734	0.00720947511987695	-0.519081416676106	9.70202239606411e-06	0.32884574816844	0.236979641773368	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.09457432	2.11054897086809	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.634872963079673
I	11050000	C.elegans	11000000	1.09912	CE	10950001	11000001-11100000	0.000951053431848897	0.000455568911751672	3.83272542350672	8.52830850534218e-07	-0.0620118743786012	-1.98801051326277	16	0.104591836734694	0.165816326530612	0.560975609756098	0.065669596	1.31610380955943	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.720747704320723
I	11050000	C.remanei	11000000	2.01359	CR	10950001	11000001-11100000	0.00787748868801128	0.00749483905985634	0.202076451125924	1.37959620963981e-05	-0.330037572431751	0.0143834479480489	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.067924276	1.73098659831938	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.64067088968314
I	11150000	C.elegans	11100000	0.968023	CE	11050001	11100001-11200000	0.000935043862340168	0.000412440518306218	4.45453043675592	8.43680090929075e-07	-0.0637987013097987	-1.99474202092622	6	0.326530612244898	0.63265306122449	0.4375	0.06478243	1.13430405247992	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.727270307979734
I	11150000	C.remanei	11100000	2.51008	CR	11050001	11100001-11200000	0.0119590259631953	0.00963020216689243	0.957381152166012	1.77872934407249e-05	-1.2989745883123	2.47040202989723	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.09435465	1.60170801299365	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.646468816286608
I	11250000	C.elegans	11200000	3.38027	CE	11150001	11200001-11300000	0.00125730315347487	0.000563954094304118	4.35800843903821	1.49807730141745e-06	-0.0674843130270166	-1.98321599514587	18	0.0816326530612245	0.119897959183673	0.609375	0.12819687	1.01195506739762	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.733792911638745
I	11250000	C.remanei	11200000	1.82688	CR	11150001	11200001-11300000	0.00989461836443631	0.00899250909526425	0.397136257844964	1.07906525170294e-05	-1.39501581975166	3.42798667840592	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.10254051	1.52740076863783	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.652266742890075
I	11350000	C.elegans	11300000	1.41165	CE	11250001	11300001-11400000	0.00125843050482246	0.000549695424796844	4.5393973121918	1.53203497222184e-06	-0.0634870598146363	-1.99510026612775	6	0.288265306122449	0.533163265306122	0.36283185840708	0.28810665	1.04076270702927	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.740315515297756
I	11350000	C.remanei	11300000	1.62126	CR	11250001	11300001-11400000	0.0132818415064631	0.0126909311147549	0.184363299385432	3.30484102639528e-05	-0.995992578170946	0.722993313205476	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.11180789	1.48553084673234	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.658064669493542
I	11450000	C.elegans	11400000	1.87896	CE	11350001	11400001-11500000	0.00150858229927395	0.000661424943498046	4.54129192817659	2.09279089728893e-06	-0.0632040442641103	-1.98675812048075	24	0.048469387755102	0.0637755102040816	0.763157894736842	0.11006475	1.02216059726084	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.746838118956767
I	11450000	C.remanei	11400000	1.20153	CR	11350001	11400001-11500000	0.0117659632365793	0.010907677641346	0.311547806111248	1.85024758006027e-05	-0.998128486313555	1.40016920353487	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.1152819	1.48006353231651	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.66386259609701
I	1150000	C.elegans	1100000	8.90869	CE	1050001	1100001-1200000	0.00454393893229753	0.00235052179478331	3.35185760710442	1.64993230236336e-05	0.066595444233535	-1.86023796044841	23	0.0586734693877551	0.0892857142857143	0.652173913043478	0.23581104	3.12191154893952	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.0750099420786273
I	11550000	C.elegans	11500000	1.32205	CE	11450001	11500001-11600000	0.000992361891376583	0.000464567228890399	4.02069873815455	8.90555029616251e-07	-0.0629226234951429	-1.98172231658588	13	0.158163265306122	0.25	0.346774193548387	0.0060502007	1.41117789804661	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.753360722615778
I	11550000	C.remanei	11500000	0.999034	CR	11450001	11500001-11600000	0.00972666132325202	0.00989983759490259	-0.0692419612744836	1.40237067978078e-05	-0.472270358521151	-0.0834574769633387	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.09036725	2.01849983945123	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.669660522700477
I	11650000	C.elegans	11600000	2.63823	CE	11550001	11600001-11700000	0.00171910249636435	0.000770650436341251	4.39259442038252	2.2621140989559e-06	-0.0649915690366783	-1.99222636651019	15	0.122448979591837	0.211734693877551	0.489583333333333	0.61883515	1.18755137837825	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.759883326274789
I	11650000	C.remanei	11600000	1.15895	CR	11550001	11600001-11700000	0.0112506435040668	0.0120909078874721	-0.275158344329538	2.70847141264223e-05	-0.498114359512621	-0.311724709876046	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.10535135	1.21717897436172	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.675458449303944
I	11750000	C.elegans	11700000	1.99201	CE	11650001	11700001-11800000	0.00113521910069511	0.000495948671447493	4.58195669231231	1.1838792747274e-06	-0.0631323792598847	-1.9923881429938	12	0.252551020408163	0.385204081632653	0.146464646464646	0.7088163	1.01868474851147	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.7664059299338
I	11750000	C.remanei	11700000	1.95176	CR	11650001	11700001-11800000	0.0115217690268077	0.0118966915563957	-0.124768023868713	3.67271010502997e-05	-0.338203225269784	0.0787172729546723	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.1315501	1.55114118497201	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.681256375907412
I	11850000	C.elegans	11800000	2.23757	CE	11750001	11800001-11900000	0.00132402570684298	0.000585216815283709	4.48177619324357	1.63634549831273e-06	-0.0634711693992599	-1.99191322901233	19	0.0994897959183673	0.176020408163265	0.538461538461539	0.76036716	1.06838210412065	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.772928533592811
I	11850000	C.remanei	11800000	1.72203	CR	11750001	11800001-11900000	0.0128451859644984	0.0113869320472463	0.507029144364623	1.99182685572683e-05	-1.69727706825878	4.35514790816291	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.10130025	1.16803077011868	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.687054302510879
I	11950000	C.elegans	11900000	1.18127	CE	11850001	11900001-12000000	0.00109393287548487	0.000496235461460754	4.26196925132709	1.07443192841996e-06	-0.0634860935888205	-1.98632409112583	12	0.165816326530612	0.280612244897959	0.376923076923077	0.0042309593	1.09341117090751	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.779451137251822
I	11950000	C.remanei	11900000	1.9063	CR	11850001	11900001-12000000	0.0135819518855983	0.0115635159362619	0.690923066793652	1.67633878061958e-05	-1.18725354417941	2.03323354594166	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.07362377	1.29435210277938	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.692852229114346
I	12050000	C.elegans	12000000	12.9055	CE	11950001	12000001-12100000	0.00148967188105548	0.000693056926816041	4.08979668673468	2.10324483390243e-06	-0.0660140880240338	-1.98948964346109	24	0.0612244897959184	0.0739795918367347	0.479166666666667	0.5740254	2.07242845476402	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.785973740910833
I	12050000	C.remanei	12000000	1.64104	CR	11950001	12000001-12100000	0.0179840687015985	0.0159989775604038	0.491275672311845	3.56736523068954e-05	-1.13210062185491	2.31754781925238	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.11576498	1.26546306534672	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.698650155717814
I	12150000	C.elegans	12100000	10.4974	CE	12050001	12100001-12200000	0.00333934905042957	0.00163771674767637	3.73012131030342	5.37402242528281e-06	-0.0645738377123397	-1.97088972399484	28	0.0357142857142857	0.038265306122449	0.964285714285714	0.0037636654	1.27784161045914	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.792496344569844
I	12150000	C.remanei	12100000	1.18559	CR	12050001	12100001-12200000	0.0181504799823792	0.016607429857798	0.367885280318572	4.48748956636774e-05	-1.55566817675065	2.83394748854783	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.13012886	1.91668483813384	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.704448082321281
I	12250000	C.elegans	12200000	2.29186	CE	12150001	12200001-12300000	0.00137934177676682	0.000759212671169775	2.91877447821221	1.40133980653567e-06	-0.0505625175582399	-1.83499067030866	23	0.0561224489795918	0.076530612244898	0.636363636363636	0.08366937	2.12019827121292	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.799018948228855
I	12250000	C.remanei	12200000	0.663179	CR	12150001	12200001-12300000	0.0147108782726898	0.0139314542777023	0.221505525108613	5.54020821370115e-05	-1.32507206555071	1.44883026493642	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.1780339	1.42105017063954	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.710246008924748
I	12350000	C.elegans	12300000	12.415	CE	12250001	12300001-12400000	0.00364278309499678	0.00159592688142424	4.61939123459139	1.27883190548705e-05	-0.0643000144013539	-1.99435433558781	23	0.0510204081632653	0.0663265306122449	0.775	0.2271461	1.01713921895852	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.805541551887867
I	12350000	C.remanei	12300000	1.29132	CR	12250001	12300001-12400000	0.01370055848619	0.0155583411709865	-0.472684290557046	8.76424742268423e-05	-0.32198597591686	-0.575264919779578	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.18327078	1.15092584529645	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.716043935528216
I	12450000	C.elegans	12400000	20.4018	CE	12350001	12400001-12500000	0.00450351622557235	0.00199820105747217	4.51608989833977	1.88628655546689e-05	-0.0663909251141881	-1.98936706713436	25	0.0433673469387755	0.0535714285714286	0.882352941176471	0.20150742	1.0475560193232	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.812064155546878
I	12450000	C.remanei	12400000	0.964659	CR	12350001	12400001-12500000	0.0145685288143256	0.0174543943010331	-0.653469433804264	6.08192593038127e-05	-0.469398565739316	-0.493768480662206	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.1042116	1.31356154735948	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.721841862131683
I	1250000	C.elegans	1200000	2.46834	CE	1150001	1200001-1300000	0.0021581973191836	0.00117426681810407	2.99306692603946	3.03420468658867e-06	-0.367988825904243	-1.74773042610787	18	0.0790816326530612	0.11734693877551	0.596774193548387	0.02906387	3.44476425102036	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.0815325457376383
I	12550000	C.elegans	12500000	0.949121	CE	12450001	12500001-12600000	0.0006475430937725	0.000298815365162842	4.105873946992	3.65394246091961e-07	-0.0618282309128079	-1.9640955704123	8	0.283163265306122	0.528061224489796	0.351351351351351	0.11332973	3.90455045904206	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.818586759205889
I	12550000	C.remanei	12500000	0.778667	CR	12450001	12500001-12600000	0.0144345623083036	0.0135572403946151	0.256165101842442	5.41535085838524e-05	-0.766551196479386	-0.265848393123882	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.16860601	1.57052966514015	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.72763978873515
I	12650000	C.elegans	12600000	8.49681	CE	12550001	12600001-12700000	0.00324501379466174	0.00149994494721655	4.18091270479569	9.13527811563549e-06	-0.0747744034894513	-1.99054314880864	27	0.038265306122449	0.0433673469387755	0.866666666666667	0.27343237	1.99116722869332	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.8251093628649
I	12650000	C.remanei	12600000	1.10281	CR	12550001	12600001-12700000	0.0138693446084487	0.0130770793858524	0.239809808669281	4.36341253957416e-05	-0.806190002821435	1.08386719657332	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.13593449	1.66605144517536	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.733437715338618
I	12750000	C.elegans	12700000	12.3787	CE	12650001	12700001-12800000	0.00314551184865578	0.00152598001366126	3.81606248089922	7.15570945228042e-06	-0.0701696098452251	-1.92334004853002	27	0.038265306122449	0.0433673469387755	0.866666666666667	0.4407987	1.53880559447961	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.831631966523911
I	12750000	C.remanei	12700000	1.40328	CR	12650001	12700001-12800000	0.00765209924481603	0.00907875933122399	-0.61876191056718	1.70472087014025e-05	-0.530605191277252	-0.154687997221417	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.087690994	3.66733041005196	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.739235641942085
I	12850000	C.elegans	12800000	5.37467	CE	12750001	12800001-12900000	0.000613692384546813	0.000270615420038263	4.41384816717418	3.49343599485289e-07	-0.0754483516138245	-1.99018343398281	10	0.275510204081633	0.474489795918367	0.217592592592593	0.6622946	3.42646396209072	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.838154570182922
I	12950000	C.elegans	12900000	0.163141	CE	12850001	12900001-13000000	3.68319398863646e-05	2.84024742948799e-05	0.831715069445155	1.26512381027983e-09	0.0997028514606344	-1.30875216801974	4	0.410714285714286	0.803571428571428	0.391304347826087	0.24284329	2.85382058988922	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.844677173841933
I	13050000	C.elegans	13000000	8.80603	CE	12950001	13000001-13100000	0.0027836796240585	0.0017389327963475	2.16276140712354	3.36378839479359e-06	-0.103148506392813	-1.69368929213974	28	0.0357142857142857	0.038265306122449	0.964285714285714	0.07239173	1.48582296560003	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.851199777500944
I	13050000	C.remanei	13000000	0.6138	CR	12950001	13000001-13100000	0.0189014387197304	0.0178199255923012	0.239944348715464	2.31466007777324e-05	-0.533735920097025	-0.487832590858288	14	0.0714285714285714	0.0816326530612245	0.928571428571428	0.03320878	1.37492790844316	CR_WILD_population14_filt_snps_5-100_0.5_fin.NOPHASE.I	0.756629421752487
I	13150000	C.elegans	13100000	8.02376	CE	13050001	13100001-13200000	0.000414692169097575	0.000245223461341741	2.41129250153098	7.49083432751953e-08	-0.0729462022275342	-1.55780571404646	27	0.038265306122449	0.0433673469387755	0.866666666666667	0.069249	1.89939911899168	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.857722381159955
I	13250000	C.elegans	13200000	1.92899	CE	13150001	13200001-13300000	0.000177339445506912	0.000117012835497554	1.72779352521983	5.5730439999141e-09	-0.0490031319765587	-0.986093107251561	28	0.0357142857142857	0.038265306122449	0.964285714285714	0.06083646	5.74168501817175	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.864244984818966
I	13350000	C.elegans	13300000	12.9514	CE	13250001	13300001-13400000	0.00119895178027436	0.000531666017292564	4.46234892318344	1.33756954043447e-06	-0.0746360076679107	-1.98946477735892	10	0.224489795918367	0.392857142857143	0.3125	0.55476475	2.62596419082883	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.870767588477977
I	13450000	C.elegans	13400000	1.25037	CE	13350001	13400001-13500000	0.00070832467108194	0.000387200501635133	2.90541423811165	4.51879918479975e-07	-0.0546318098197477	-1.88214411956713	12	0.224489795918367	0.346938775510204	0.181818181818182	0.22211021	6.10259117939762	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.877290192136988
I	1350000	C.elegans	1300000	0.815331	CE	1250001	1300001-1400000	0.00164550962459585	0.000972441443111623	2.46467218169339	1.6895932830833e-06	-0.421146067900397	-1.73479240404866	16	0.135204081632653	0.237244897959184	0.39622641509434	0.083932854	1.21377928429422	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.0880551493966494
I	13550000	C.elegans	13500000	1.50254	CE	13450001	13500001-13600000	0.000665741087459196	0.000386938094819364	2.52888737971206	4.05791333929142e-07	-0.106869471737972	-1.92069088466019	18	0.114795918367347	0.155612244897959	0.288888888888889	0.056681473	1.61629161834939	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.883812795795999
I	13650000	C.elegans	13600000	1.37636	CE	13550001	13600001-13700000	0.000812296105998605	0.000354829857246762	4.51509379451553	5.96762417776181e-07	-0.0752282602705077	-1.98603681884688	12	0.170918367346939	0.313775510204082	0.522388059701493	0.05676361	1.02423486431179	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.89033539945501
I	13750000	C.elegans	13700000	1.50485	CE	13650001	13700001-13800000	0.00112167584563427	0.000627392991640143	2.79482928778768	1.13420406470153e-06	-0.0469565517092473	-1.82486920191293	13	0.155612244897959	0.278061224489796	0.475409836065574	0.07085281	1.80793421390155	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.896858003114021
I	13850000	C.elegans	13800000	2.16289	CE	13750001	13800001-13900000	0.00142569250928767	0.000673692784824498	3.96788321097458	1.44418793638841e-06	-0.0841332234536513	-1.86209423324735	20	0.0637755102040816	0.086734693877551	0.82	0.11685321	1.02684379480155	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.903380606773033
I	13950000	C.elegans	13900000	2.61831	CE	13850001	13900001-14000000	0.00105945478386053	0.000501362065256254	3.93563756044253	8.4586116232488e-07	-0.0755862945003839	-1.93519162117298	21	0.0918367346938776	0.127551020408163	0.319444444444444	0.20300965	1.21773783332192	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.909903210432044
I	14050000	C.elegans	14000000	1.05336	CE	13950001	14000001-14100000	0.000736405349445372	0.00034422670882267	3.99864564534624	4.83363494021399e-07	-0.0766443946334367	-1.97999423825326	14	0.168367346938776	0.244897959183673	0.242424242424242	0.5505223	1.97021030633579	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.916425814091055
I	14150000	C.elegans	14100000	1.78155	CE	14050001	14100001-14200000	0.00122806090380563	0.000572733504761636	4.06247776733319	1.32683655174302e-06	-0.0749990833597483	-1.98548066061102	21	0.0586734693877551	0.0816326530612245	0.804347826086957	0.03123888	1.10638621387657	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.922948417750066
I	14250000	C.elegans	14200000	2.38072	CE	14150001	14200001-14300000	0.00111053697800772	0.000474970521498913	4.72509397430521	1.18371848077987e-06	-0.0742434003167373	-1.99433080865616	6	0.321428571428571	0.586734693877551	0.329365079365079	0.2075027	1.01695774591654	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.929471021409077
I	14350000	C.elegans	14300000	3.14079	CE	14250001	14300001-14400000	0.00148447072005903	0.000685615194857984	4.13287595433804	1.78439241599717e-06	-0.0745657734086499	-1.97063048076729	22	0.0535714285714286	0.0688775510204082	0.785714285714286	0.3935394	1.37903746070896	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.935993625068088
I	14450000	C.elegans	14400000	1.71999	CE	14350001	14400001-14500000	0.0010979336877871	0.000486493333662297	4.42903284702206	1.03346116395051e-06	-0.0723678340436882	-1.92412611785222	19	0.0969387755102041	0.13265306122449	0.355263157894737	0.0063950825	1.12106295036136	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.942516228727099
I	1450000	C.elegans	1400000	0.449756	CE	1350001	1400001-1500000	0.00162953554420945	0.000917292978682667	2.76605075308412	1.8241514548195e-06	-0.296477200599542	-1.6769799657881	17	0.0841836734693878	0.122448979591837	0.621212121212121	0.010359273	1.3828244877941	CE_population_filt_snps_5-100_0.5_fin.NOPHASE.I	0.0945777530556604
