marker_number	male_position	female_position
221	0.000	0.000
222	0.000	0.000
223	0.000	0.000
232	0.000	0.000
234	0.000	0.000
237	0.000	0.000
238	0.000	0.000
239	0.000	0.000
240	0.000	0.000
241	0.000	0.000
242	0.000	0.000
243	0.000	0.000
244	0.000	0.000
245	0.000	0.000
246	0.000	0.000
247	0.000	0.000
248	0.000	0.000
249	0.000	0.000
251	0.000	0.000
252	0.000	0.000
253	0.000	0.000
254	0.000	0.000
255	0.000	0.000
256	0.000	0.000
257	0.000	0.000
258	0.000	0.000
268	0.000	0.000
269	0.000	0.000
272	0.000	0.000
273	0.000	0.000
274	0.000	0.000
275	0.000	0.000
276	0.000	0.000
277	0.000	0.000
278	0.000	0.000
279	0.000	0.000
280	0.000	0.000
281	0.000	0.000
283	0.000	0.000
284	0.000	0.000
297	0.000	0.000
298	0.000	0.000
302	0.000	0.000
303	0.000	0.000
316	0.000	0.000
317	0.000	0.000
318	0.000	0.000
319	0.000	0.000
320	0.000	0.000
321	0.000	0.000
322	0.000	0.000
324	0.000	0.000
325	0.000	0.000
326	0.000	0.000
327	0.000	0.000
331	0.000	0.000
334	0.000	0.000
335	0.000	0.000
336	0.000	0.000
338	0.000	0.000
339	0.000	0.000
340	0.000	0.000
347	0.000	0.000
350	0.000	0.000
351	0.000	0.000
352	0.000	0.000
353	0.000	0.000
354	0.000	0.000
355	0.000	0.000
356	0.000	0.000
357	0.000	0.000
358	0.000	0.000
359	0.000	0.000
360	0.000	0.000
371	0.000	0.000
372	0.000	0.000
373	0.000	0.000
374	0.000	0.000
375	0.000	0.000
378	0.000	0.000
381	0.000	0.000
383	0.000	0.000
385	0.000	0.000
386	0.000	0.000
387	0.000	0.000
389	0.000	0.000
408	0.000	0.000
409	0.000	0.000
410	0.000	0.000
411	0.000	0.000
412	0.000	0.000
413	0.000	0.000
414	0.000	0.000
415	0.000	0.000
416	0.000	0.000
417	0.000	0.000
418	0.000	0.000
419	0.000	0.000
431	0.000	0.000
432	0.000	0.000
433	0.000	0.000
434	0.000	0.000
435	0.000	0.000
436	0.000	0.000
437	0.000	0.000
438	0.000	0.000
439	0.000	0.000
440	0.000	0.000
441	0.000	0.000
442	0.000	0.000
455	0.000	0.000
458	0.000	0.000
459	0.000	0.000
460	0.000	0.000
461	0.000	0.000
462	0.000	0.000
510	0.284	0.284
512	0.284	0.284
513	0.284	0.284
516	0.284	0.284
517	0.284	0.284
518	0.284	0.284
520	0.284	0.284
521	0.284	0.284
522	0.284	0.284
523	0.284	0.284
524	0.284	0.284
526	0.284	0.284
527	0.284	0.284
528	0.284	0.284
529	0.284	0.284
530	0.284	0.284
531	0.284	0.284
532	0.284	0.284
533	0.284	0.284
534	0.284	0.284
546	0.284	0.284
550	0.284	0.284
553	0.284	0.284
556	0.284	0.284
557	0.284	0.284
558	0.284	0.284
559	0.284	0.284
560	0.284	0.284
561	0.284	0.284
562	0.284	0.284
563	0.284	0.284
564	0.284	0.284
565	0.284	0.284
566	0.284	0.284
567	0.284	0.284
570	0.284	0.284
571	0.284	0.284
572	0.284	0.284
573	0.284	0.284
574	0.284	0.284
575	0.284	0.284
576	0.284	0.284
577	0.284	0.284
578	0.284	0.284
579	0.284	0.284
580	0.284	0.284
581	0.284	0.284
582	0.284	0.284
583	0.284	0.284
584	0.284	0.284
585	0.284	0.284
586	0.284	0.284
587	0.284	0.284
588	0.284	0.284
589	0.284	0.284
590	0.284	0.284
596	0.284	0.284
597	0.284	0.284
598	0.284	0.284
599	0.284	0.284
600	0.284	0.284
601	0.284	0.284
602	0.284	0.284
603	0.284	0.284
604	0.284	0.284
605	0.284	0.284
606	0.284	0.284
607	0.284	0.284
608	0.284	0.284
609	0.284	0.284
610	0.284	0.284
611	0.284	0.284
612	0.284	0.284
613	0.284	0.284
615	0.284	0.284
626	0.284	0.284
636	0.568	0.568
637	0.568	0.568
638	0.568	0.568
639	0.568	0.568
640	0.568	0.568
641	0.568	0.568
642	0.568	0.568
643	0.568	0.568
644	0.568	0.568
645	0.568	0.568
646	0.568	0.568
647	0.568	0.568
648	0.568	0.568
649	0.568	0.568
650	0.568	0.568
651	0.568	0.568
659	0.568	0.568
664	0.568	0.568
666	0.568	0.568
668	0.568	0.568
671	0.568	0.568
672	0.568	0.568
673	0.568	0.568
677	0.568	0.568
683	0.568	0.568
684	0.568	0.568
685	5.398	5.398
686	5.966	5.966
687	5.966	5.966
688	5.966	5.966
690	5.966	5.966
691	5.966	5.966
692	5.966	5.966
693	5.966	5.966
694	5.966	5.966
695	5.966	5.966
696	5.966	5.966
697	5.966	5.966
698	5.966	5.966
699	5.966	5.966
700	5.966	5.966
701	5.966	5.966
702	5.966	5.966
703	5.966	5.966
713	5.966	5.966
714	5.966	5.966
715	5.966	5.966
716	5.966	5.966
717	5.966	5.966
718	5.966	5.966
719	5.966	5.966
720	5.966	5.966
721	5.966	5.966
722	5.966	5.966
723	5.966	5.966
724	5.966	5.966
725	5.966	5.966
726	5.966	5.966
727	5.966	5.966
728	5.966	5.966
729	5.966	5.966
730	5.966	5.966
731	5.966	5.966
732	5.966	5.966
733	5.966	5.966
734	5.966	5.966
735	5.966	5.966
736	5.966	5.966
739	5.966	5.966
740	5.966	5.966
754	5.966	5.966
755	5.966	5.966
756	5.966	5.966
757	5.966	5.966
758	5.966	5.966
759	5.966	5.966
760	5.966	5.966
762	5.966	5.966
763	5.966	5.966
764	5.966	5.966
765	5.966	5.966
766	5.966	5.966
767	5.966	5.966
768	5.966	5.966
769	5.966	5.966
770	5.966	5.966
771	5.966	5.966
772	5.966	5.966
773	5.966	5.966
774	5.966	5.966
775	5.966	5.966
777	5.966	5.966
778	5.966	5.966
779	5.966	5.966
780	5.966	5.966
781	5.966	5.966
782	5.966	5.966
783	5.966	5.966
784	5.966	5.966
785	5.966	5.966
786	5.966	5.966
787	5.966	5.966
788	5.966	5.966
789	5.966	5.966
790	5.966	5.966
791	5.966	5.966
802	5.966	5.966
804	5.966	5.966
805	5.966	5.966
806	5.966	5.966
807	5.966	5.966
808	5.966	5.966
809	5.966	5.966
810	5.966	5.966
811	5.966	5.966
815	5.966	5.966
816	5.966	5.966
820	5.966	5.966
836	5.966	5.966
839	5.966	5.966
840	5.966	5.966
841	5.966	5.966
842	5.966	5.966
843	5.966	5.966
844	5.966	5.966
845	5.966	5.966
851	5.966	5.966
854	5.966	5.966
856	5.966	5.966
860	5.966	5.966
861	5.966	5.966
862	5.966	5.966
863	5.966	5.966
864	5.966	5.966
865	5.966	5.966
866	5.966	5.966
867	5.966	5.966
868	5.966	5.966
869	5.966	5.966
870	5.966	5.966
871	5.966	5.966
872	5.966	5.966
873	5.966	5.966
874	5.966	5.966
875	5.966	5.966
876	5.966	5.966
877	5.966	5.966
878	5.966	5.966
879	5.966	5.966
880	5.966	5.966
881	5.966	5.966
882	5.966	5.966
883	5.966	5.966
884	5.966	5.966
885	5.966	5.966
886	5.966	5.966
887	5.966	5.966
888	5.966	5.966
889	5.966	5.966
890	5.966	5.966
891	5.966	5.966
892	5.966	5.966
893	5.966	5.966
894	5.966	5.966
895	5.966	5.966
896	5.966	5.966
897	5.966	5.966
898	5.966	5.966
899	5.966	5.966
900	5.966	5.966
901	5.966	5.966
902	5.966	5.966
903	5.966	5.966
904	5.966	5.966
905	5.966	5.966
906	5.966	5.966
907	5.966	5.966
908	5.966	5.966
909	5.966	5.966
911	5.966	5.966
912	5.966	5.966
913	5.966	5.966
914	5.966	5.966
915	5.966	5.966
916	5.966	5.966
917	5.966	5.966
918	5.966	5.966
919	5.966	5.966
920	5.966	5.966
921	5.966	5.966
922	5.966	5.966
923	5.966	5.966
924	5.966	5.966
925	5.966	5.966
926	5.966	5.966
927	5.966	5.966
928	5.966	5.966
929	5.966	5.966
930	5.966	5.966
931	5.966	5.966
932	5.966	5.966
933	5.966	5.966
934	5.966	5.966
935	5.966	5.966
936	5.966	5.966
937	5.966	5.966
938	5.966	5.966
940	5.966	5.966
941	5.966	5.966
943	5.966	5.966
944	5.966	5.966
945	5.966	5.966
946	5.966	5.966
947	5.966	5.966
948	5.966	5.966
949	5.966	5.966
950	5.966	5.966
952	5.966	5.966
957	5.966	5.966
958	5.966	5.966
960	5.966	5.966
961	5.966	5.966
962	5.966	5.966
963	5.966	5.966
964	5.966	5.966
965	5.966	5.966
966	5.966	5.966
967	5.966	5.966
968	5.966	5.966
969	5.966	5.966
970	5.966	5.966
971	5.966	5.966
972	5.966	5.966
973	5.966	5.966
981	5.966	5.966
982	5.966	5.966
983	5.966	5.966
984	5.966	5.966
985	5.966	5.966
986	5.966	5.966
988	5.966	5.966
989	5.966	5.966
990	5.966	5.966
991	5.966	5.966
992	5.966	5.966
993	5.966	5.966
1003	5.966	5.966
1004	5.966	5.966
1007	5.966	5.966
1008	5.966	5.966
1010	5.966	5.966
1011	5.966	5.966
1012	5.966	5.966
1013	5.966	5.966
1014	5.966	5.966
1015	5.966	5.966
1016	5.966	5.966
1017	5.966	5.966
1018	5.966	5.966
1019	5.966	5.966
1020	5.966	5.966
1021	5.966	5.966
1022	5.966	5.966
1023	5.966	5.966
1024	5.966	5.966
1025	5.966	5.966
1026	5.966	5.966
1027	5.966	5.966
1028	5.966	5.966
1029	5.966	5.966
1030	5.966	5.966
1031	5.966	5.966
1032	5.966	5.966
1033	5.966	5.966
1034	5.966	5.966
1035	5.966	5.966
1037	5.966	5.966
1038	5.966	5.966
1040	5.966	5.966
1041	5.966	5.966
1043	5.966	5.966
1045	5.966	5.966
1046	5.966	5.966
1047	5.966	5.966
1049	5.966	5.966
1052	6.250	6.250
1055	6.250	6.250
1057	6.250	6.250
1058	6.250	6.250
1062	6.534	6.534
1063	6.534	6.534
1064	6.534	6.534
1065	6.534	6.534
1066	6.534	6.534
1067	6.534	6.534
1068	6.534	6.534
1069	6.534	6.534
1070	6.534	6.534
1071	6.534	6.534
1075	6.534	6.534
1076	6.534	6.534
1077	6.534	6.534
1078	6.534	6.534
1079	6.534	6.534
1080	6.534	6.534
1082	6.534	6.534
1083	6.534	6.534
1084	6.534	6.534
1085	6.534	6.534
1086	6.534	6.534
1087	6.534	6.534
1089	6.534	6.534
1090	6.534	6.534
1091	6.534	6.534
1092	6.534	6.534
1093	6.534	6.534
1094	6.534	6.534
1095	6.534	6.534
1096	6.534	6.534
1100	6.534	6.534
1102	6.534	6.534
1103	6.534	6.534
1104	6.534	6.534
1105	6.534	6.534
1106	6.534	6.534
1107	6.534	6.534
1108	6.534	6.534
1109	6.534	6.534
1110	6.534	6.534
1111	6.534	6.534
1112	6.534	6.534
1113	6.534	6.534
1114	6.534	6.534
1115	6.534	6.534
1116	6.534	6.534
1117	6.534	6.534
1118	6.534	6.534
1119	6.534	6.534
1120	6.534	6.534
1121	6.534	6.534
1122	6.534	6.534
1123	6.534	6.534
1124	6.534	6.534
1125	6.534	6.534
1126	6.534	6.534
1127	6.534	6.534
1128	6.534	6.534
1129	6.534	6.534
1130	6.534	6.534
1131	6.534	6.534
1132	6.534	6.534
1133	6.534	6.534
1134	6.534	6.534
1135	6.534	6.534
1136	6.534	6.534
1137	6.534	6.534
1138	6.534	6.534
1139	6.534	6.534
1140	6.534	6.534
1141	6.534	6.534
1142	6.534	6.534
1143	6.534	6.534
1144	6.534	6.534
1145	6.534	6.534
1146	6.534	6.534
1147	6.534	6.534
1148	6.534	6.534
1149	6.534	6.534
1150	6.534	6.534
1151	6.534	6.534
1152	6.534	6.534
1153	6.534	6.534
1154	6.534	6.534
1155	6.534	6.534
1156	6.534	6.534
1157	6.534	6.534
1158	6.534	6.534
1159	6.534	6.534
1162	6.534	6.534
1163	6.534	6.534
1164	6.534	6.534
1165	6.534	6.534
1166	6.534	6.534
1167	6.534	6.534
1168	6.534	6.534
1169	6.534	6.534
1170	6.534	6.534
1171	6.534	6.534
1172	6.534	6.534
1173	6.534	6.534
1174	6.534	6.534
1175	6.534	6.534
1176	6.534	6.534
1177	6.534	6.534
1178	6.534	6.534
1179	6.534	6.534
1180	6.534	6.534
1181	6.534	6.534
1182	6.534	6.534
1183	6.534	6.534
1184	6.534	6.534
1185	6.534	6.534
1186	6.534	6.534
1187	6.534	6.534
1188	6.534	6.534
1189	6.534	6.534
1190	6.534	6.534
1191	6.534	6.534
1192	6.534	6.534
1194	6.534	6.534
1195	6.534	6.534
1196	6.534	6.534
1197	6.534	6.534
1198	6.534	6.534
1199	6.534	6.534
1200	6.534	6.534
1205	6.534	6.534
1206	6.534	6.534
1208	6.534	6.534
1209	6.534	6.534
1210	6.534	6.534
1211	6.534	6.534
1212	6.534	6.534
1215	6.534	6.534
1216	6.534	6.534
1217	6.534	6.534
1221	6.534	6.534
1222	6.534	6.534
1223	6.534	6.534
1224	6.534	6.534
1225	6.534	6.534
1226	6.534	6.534
1227	6.534	6.534
1228	6.534	6.534
1229	6.534	6.534
1230	6.534	6.534
1231	6.534	6.534
1232	6.534	6.534
1233	6.534	6.534
1234	6.534	6.534
1236	6.534	6.534
1239	6.534	6.534
1240	6.534	6.534
1245	6.534	6.534
1249	6.534	6.534
1251	6.534	6.534
1252	6.534	6.534
1253	6.534	6.534
1254	6.534	6.534
1255	6.534	6.534
1256	6.534	6.534
1257	6.534	6.534
1263	6.534	6.534
1267	6.534	6.534
1268	6.534	6.534
1269	6.534	6.534
1270	6.534	6.534
1271	6.534	6.534
1272	6.534	6.534
1273	6.534	6.534
1274	6.534	6.534
1282	6.534	6.534
1283	6.534	6.534
1284	6.534	6.534
1285	6.534	6.534
1286	6.534	6.534
1287	6.534	6.534
1289	6.534	6.534
1292	6.534	6.534
1293	6.534	6.534
1294	6.534	6.534
1296	6.534	6.534
1297	6.534	6.534
1298	6.534	6.534
1299	6.534	6.534
1300	6.534	6.534
1301	6.534	6.534
1302	6.534	6.534
1303	6.534	6.534
1304	6.534	6.534
1305	6.534	6.534
1306	6.534	6.534
1307	6.534	6.534
1308	6.534	6.534
1309	6.534	6.534
1310	6.534	6.534
1311	6.534	6.534
1312	6.534	6.534
1313	6.534	6.534
1314	6.534	6.534
1315	6.534	6.534
1316	6.534	6.534
1317	6.534	6.534
1318	6.534	6.534
1320	6.534	6.534
1321	6.534	6.534
1322	6.534	6.534
1323	6.534	6.534
1324	6.534	6.534
1325	6.534	6.534
1326	6.534	6.534
1327	6.534	6.534
1328	6.534	6.534
1329	6.534	6.534
1330	6.534	6.534
1331	6.534	6.534
1332	6.534	6.534
1335	6.534	6.534
1336	6.534	6.534
1337	6.534	6.534
1338	6.534	6.534
1339	6.534	6.534
1340	6.534	6.534
1341	6.534	6.534
1342	6.534	6.534
1343	6.534	6.534
1344	6.534	6.534
1345	6.534	6.534
1346	6.534	6.534
1347	6.534	6.534
1348	6.534	6.534
1349	6.534	6.534
1350	6.534	6.534
1351	6.534	6.534
1352	6.534	6.534
1353	6.534	6.534
1354	6.534	6.534
1355	6.534	6.534
1356	6.534	6.534
1357	6.534	6.534
1358	6.534	6.534
1359	6.534	6.534
1360	6.534	6.534
1361	6.534	6.534
1362	6.534	6.534
1363	6.534	6.534
1364	6.534	6.534
1365	6.534	6.534
1366	6.534	6.534
1367	6.534	6.534
1368	6.534	6.534
1373	6.534	6.534
1374	6.534	6.534
1375	6.534	6.534
1376	6.534	6.534
1377	6.534	6.534
1378	6.534	6.534
1379	6.534	6.534
1380	6.534	6.534
1381	6.534	6.534
1382	6.534	6.534
1383	6.534	6.534
1384	6.534	6.534
1385	6.534	6.534
1386	6.534	6.534
1387	6.534	6.534
1388	6.534	6.534
1389	6.534	6.534
1390	6.534	6.534
1391	6.534	6.534
1392	6.534	6.534
1393	6.534	6.534
1394	6.534	6.534
1395	6.534	6.534
1396	6.534	6.534
1397	6.534	6.534
1398	6.534	6.534
1399	6.534	6.534
1400	6.534	6.534
1401	6.534	6.534
1402	6.534	6.534
1403	6.534	6.534
1409	6.534	6.534
1410	6.534	6.534
1411	6.534	6.534
1412	6.534	6.534
1413	6.534	6.534
1414	6.534	6.534
1415	6.534	6.534
1416	6.534	6.534
1417	6.534	6.534
1418	6.534	6.534
1419	6.534	6.534
1420	6.534	6.534
1421	6.534	6.534
1422	6.534	6.534
1423	6.818	6.818
1424	6.818	6.818
1425	6.818	6.818
1426	6.818	6.818
1441	6.818	6.818
1442	6.818	6.818
1444	6.818	6.818
1452	6.818	6.818
1453	6.818	6.818
1454	6.818	6.818
1455	6.818	6.818
1456	6.818	6.818
1457	6.818	6.818
1458	6.818	6.818
1459	6.818	6.818
1460	6.818	6.818
1461	6.818	6.818
1462	6.818	6.818
1463	6.818	6.818
1464	6.818	6.818
1465	6.818	6.818
1466	6.818	6.818
1468	6.818	6.818
1471	6.818	6.818
1472	6.818	6.818
1473	6.818	6.818
1474	6.818	6.818
1475	6.818	6.818
1476	6.818	6.818
1477	6.818	6.818
1478	6.818	6.818
1479	6.818	6.818
1480	6.818	6.818
1481	6.818	6.818
1482	6.818	6.818
1483	6.818	6.818
1484	6.818	6.818
1485	6.818	6.818
1486	6.818	6.818
1488	6.818	6.818
1491	6.818	6.818
1492	6.818	6.818
1493	6.818	6.818
1494	6.818	6.818
1495	6.818	6.818
1496	6.818	6.818
1505	6.818	6.818
1506	6.818	6.818
1507	6.818	6.818
1508	6.818	6.818
1509	6.818	6.818
1510	6.818	6.818
1511	6.818	6.818
1512	6.818	6.818
1513	6.818	6.818
1514	6.818	6.818
1515	6.818	6.818
1519	6.818	6.818
1520	6.818	6.818
1521	6.818	6.818
1522	6.818	6.818
1523	6.818	6.818
1524	6.818	6.818
1526	6.818	6.818
1527	7.386	7.386
1528	7.386	7.386
1529	7.386	7.386
1530	7.386	7.386
1531	7.386	7.386
1532	7.386	7.386
1537	7.386	7.386
1543	7.386	7.386
1555	7.386	7.386
1556	7.386	7.386
1557	7.386	7.386
1558	7.386	7.386
1559	7.386	7.386
1560	7.386	7.386
1561	7.386	7.386
1562	7.386	7.386
1564	7.386	7.386
1565	7.386	7.386
1567	7.386	7.386
1568	7.386	7.386
1569	7.386	7.386
1570	7.386	7.386
1571	7.386	7.386
1572	7.386	7.386
1573	7.386	7.386
1574	7.386	7.386
1578	7.386	7.386
1582	7.386	7.386
1583	7.386	7.386
1584	7.386	7.386
1585	7.386	7.386
1586	7.386	7.386
1587	7.386	7.386
1588	7.386	7.386
1590	7.386	7.386
1591	7.386	7.386
1595	7.386	7.386
1596	7.386	7.386
1597	7.386	7.386
1598	7.386	7.386
1599	7.386	7.386
1602	7.386	7.386
1603	7.386	7.386
1604	7.386	7.386
1605	7.386	7.386
1606	7.386	7.386
1614	7.386	7.386
1615	7.386	7.386
1616	7.386	7.386
1617	7.386	7.386
1618	7.386	7.386
1619	7.386	7.386
1620	7.386	7.386
1621	7.386	7.386
1622	7.386	7.386
1623	7.386	7.386
1624	7.386	7.386
1625	7.386	7.386
1626	7.386	7.386
1627	7.386	7.386
1628	7.386	7.386
1629	7.386	7.386
1630	7.386	7.386
1631	7.386	7.386
1632	7.386	7.386
1633	7.386	7.386
1634	7.386	7.386
1636	7.386	7.386
1639	7.386	7.386
1640	7.386	7.386
1641	7.386	7.386
1642	7.386	7.386
1643	7.386	7.386
1644	7.386	7.386
1645	7.386	7.386
1647	7.386	7.386
1648	7.386	7.386
1652	7.386	7.386
1654	7.386	7.386
1655	7.386	7.386
1663	7.386	7.386
1680	7.386	7.386
1681	7.386	7.386
1682	7.386	7.386
1683	7.386	7.386
1684	7.386	7.386
1685	7.386	7.386
1686	7.386	7.386
1687	7.386	7.386
1688	7.386	7.386
1689	7.386	7.386
1691	7.386	7.386
1692	7.386	7.386
1693	7.386	7.386
1694	7.386	7.386
1695	7.386	7.386
1696	7.386	7.386
1697	7.386	7.386
1698	7.386	7.386
1699	7.386	7.386
1706	7.386	7.386
1707	7.386	7.386
1709	7.386	7.386
1723	7.386	7.386
1724	7.670	7.670
1725	7.670	7.670
1771	8.239	8.239
1772	8.239	8.239
1773	8.239	8.239
1774	8.239	8.239
1777	8.239	8.239
1778	8.239	8.239
1779	8.239	8.239
1780	8.239	8.239
1781	8.239	8.239
1782	8.239	8.239
1795	8.239	8.239
1800	8.239	8.239
1801	8.239	8.239
1803	8.239	8.239
1804	8.239	8.239
1805	8.239	8.239
1806	8.239	8.239
1807	8.239	8.239
1808	8.239	8.239
1809	8.239	8.239
1810	8.239	8.239
1811	8.239	8.239
1812	8.239	8.239
1813	8.239	8.239
1814	8.239	8.239
1815	8.239	8.239
1823	8.239	8.239
1833	8.239	8.239
1834	8.239	8.239
1835	8.239	8.239
1836	8.239	8.239
1837	8.239	8.239
1838	8.239	8.239
1839	8.239	8.239
1840	8.239	8.239
1850	8.239	8.239
1853	8.239	8.239
1856	8.239	8.239
1870	8.239	8.239
1871	8.239	8.239
1872	8.239	8.239
1873	8.239	8.239
1899	8.239	8.239
1900	8.239	8.239
1901	8.239	8.239
1903	8.239	8.239
1904	8.239	8.239
1905	8.239	8.239
1906	8.239	8.239
1907	8.239	8.239
1908	8.239	8.239
1909	8.239	8.239
1910	8.239	8.239
1911	8.239	8.239
1913	8.239	8.239
1915	8.239	8.239
1917	8.239	8.239
1918	8.239	8.239
1919	8.239	8.239
1920	8.239	8.239
1921	8.239	8.239
1922	8.239	8.239
1923	8.239	8.239
1924	8.239	8.239
1925	8.239	8.239
1926	8.239	8.239
1927	8.239	8.239
1929	8.239	8.239
1930	8.239	8.239
1931	8.239	8.239
1935	8.239	8.239
1937	8.239	8.239
1938	8.239	8.239
1939	8.239	8.239
1940	8.239	8.239
1941	8.239	8.239
1942	8.239	8.239
1943	8.239	8.239
1944	8.239	8.239
1945	8.239	8.239
1946	8.239	8.239
1976	8.239	8.239
1984	8.239	8.239
1985	8.239	8.239
1986	8.239	8.239
1987	8.239	8.239
1988	8.239	8.239
1989	8.239	8.239
1990	8.239	8.239
1991	8.239	8.239
1994	8.239	8.239
1996	8.239	8.239
1997	8.239	8.239
2000	8.239	8.239
2002	8.239	8.239
2003	8.239	8.239
2004	8.239	8.239
2005	8.239	8.239
2006	8.523	8.523
2007	8.523	8.523
2008	8.523	8.523
2009	8.523	8.523
2010	8.523	8.523
2011	8.523	8.523
2013	8.523	8.523
2015	8.523	8.523
2016	8.523	8.523
2018	8.523	8.523
2019	8.523	8.523
2020	8.523	8.523
2021	8.523	8.523
2022	8.523	8.523
2023	8.523	8.523
2024	8.523	8.523
2030	8.523	8.523
2031	8.523	8.523
2032	8.523	8.523
2033	8.523	8.523
2034	12.216	12.216
2035	12.216	12.216
2036	12.216	12.216
2038	12.216	12.216
2039	12.216	12.216
2042	12.216	12.216
2043	12.216	12.216
2044	12.216	12.216
2045	12.216	12.216
2046	12.216	12.216
2047	12.216	12.216
2048	12.216	12.216
2049	12.216	12.216
2050	12.216	12.216
2051	12.216	12.216
2054	12.216	12.216
2055	12.216	12.216
2058	12.216	12.216
2061	12.216	12.216
2062	12.216	12.216
2063	12.216	12.216
2068	12.216	12.216
2069	12.216	12.216
2070	12.216	12.216
2078	12.216	12.216
2079	12.216	12.216
2080	12.216	12.216
2081	12.216	12.216
2082	12.216	12.216
2085	12.216	12.216
2086	12.216	12.216
2087	12.216	12.216
2088	12.216	12.216
2089	12.216	12.216
2091	12.216	12.216
2092	12.216	12.216
2094	12.216	12.216
2096	12.216	12.216
2100	12.500	12.500
2104	12.500	12.500
2105	12.500	12.500
2106	12.500	12.500
2107	12.500	12.500
2108	12.500	12.500
2109	12.500	12.500
2112	12.500	12.500
2113	12.500	12.500
2115	12.500	12.500
2116	12.500	12.500
2117	12.500	12.500
2118	12.500	12.500
2119	12.500	12.500
2120	12.500	12.500
2121	12.500	12.500
2122	12.500	12.500
2123	12.500	12.500
2124	12.500	12.500
2125	12.500	12.500
2126	12.500	12.500
2128	12.500	12.500
2129	12.500	12.500
2139	12.500	12.500
2141	12.500	12.500
2147	12.500	12.500
2148	12.500	12.500
2152	12.500	12.500
2154	12.500	12.500
2155	12.500	12.500
2156	12.500	12.500
2157	12.500	12.500
2158	12.500	12.500
2159	12.500	12.500
2160	12.500	12.500
2161	12.500	12.500
2163	12.500	12.500
2164	12.500	12.500
2174	12.500	12.500
2175	12.500	12.500
2176	12.500	12.500
2177	12.500	12.500
2178	12.500	12.500
2179	12.500	12.500
2181	12.500	12.500
2185	12.500	12.500
2186	12.500	12.500
2187	12.500	12.500
2188	12.500	12.500
2189	12.500	12.500
2190	12.500	12.500
2191	12.500	12.500
2194	12.500	12.500
2195	12.500	12.500
2197	12.500	12.500
2198	12.500	12.500
2199	12.500	12.500
2200	12.500	12.500
2201	12.500	12.500
2202	12.500	12.500
2203	12.500	12.500
2204	12.500	12.500
2205	12.500	12.500
2207	12.500	12.500
2208	12.500	12.500
2209	12.500	12.500
2210	12.500	12.500
2211	12.500	12.500
2212	12.500	12.500
2213	12.500	12.500
2214	12.500	12.500
2215	12.500	12.500
2216	12.500	12.500
2221	12.500	12.500
2222	12.500	12.500
2229	12.500	12.500
2230	12.500	12.500
2231	12.500	12.500
2233	12.500	12.500
2234	12.500	12.500
2235	12.500	12.500
2237	12.500	12.500
2238	12.500	12.500
2239	12.500	12.500
2240	12.500	12.500
2241	12.500	12.500
2243	12.500	12.500
2244	12.500	12.500
2245	12.500	12.500
2246	12.500	12.500
2248	12.500	12.500
2257	12.500	12.500
2264	12.500	12.500
2265	12.500	12.500
2266	12.500	12.500
2267	12.500	12.500
2268	12.500	12.500
2270	12.500	12.500
2271	12.500	12.500
