CHR	POS	CM	Type	MB	chr
I	331009	2.712	Maternal	0.331009	I
I	331011	2.712	Maternal	0.331011	I
I	331012	2.712	Maternal	0.331012	I
I	331024	2.712	Maternal	0.331024	I
I	331035	2.712	Maternal	0.331035	I
I	331168	2.712	Maternal	0.331168	I
I	331186	2.712	Maternal	0.331186	I
I	331201	2.712	Maternal	0.331201	I
I	331210	2.712	Maternal	0.33121	I
I	331213	2.712	Maternal	0.331213	I
I	331219	2.712	Maternal	0.331219	I
I	331221	2.712	Maternal	0.331221	I
I	331222	2.712	Maternal	0.331222	I
I	331243	2.858	Maternal	0.331243	I
I	332675	2.858	Maternal	0.332675	I
I	332972	3.005	Maternal	0.332972	I
I	332984	3.005	Maternal	0.332984	I
I	333014	3.005	Maternal	0.333014	I
I	355598	3.005	Maternal	0.355598	I
I	356968	3.152	Maternal	0.356968	I
I	372594	3.152	Maternal	0.372594	I
I	433186	3.152	Maternal	0.433186	I
I	463412	3.152	Maternal	0.463412	I
I	472317	3.299	Maternal	0.472317	I
I	477678	3.299	Maternal	0.477678	I
I	477697	3.299	Maternal	0.477697	I
I	477723	3.299	Maternal	0.477723	I
I	479519	3.889	Maternal	0.479519	I
I	479528	3.889	Maternal	0.479528	I
I	503320	4.183	Maternal	0.50332	I
I	503323	4.183	Maternal	0.503323	I
I	643162	4.33	Maternal	0.643162	I
I	643163	4.33	Maternal	0.643163	I
I	643207	4.477	Maternal	0.643207	I
I	643208	4.477	Maternal	0.643208	I
I	643210	4.477	Maternal	0.64321	I
I	643216	4.477	Maternal	0.643216	I
I	725054	4.624	Maternal	0.725054	I
I	725058	4.624	Maternal	0.725058	I
I	743578	4.624	Maternal	0.743578	I
I	743829	5.362	Maternal	0.743829	I
I	743847	5.509	Maternal	0.743847	I
I	743961	5.951	Maternal	0.743961	I
I	743967	6.245	Maternal	0.743967	I
I	743970	6.245	Maternal	0.74397	I
I	743979	6.245	Maternal	0.743979	I
I	747106	6.539	Maternal	0.747106	I
I	747124	6.539	Maternal	0.747124	I
I	747145	6.539	Maternal	0.747145	I
I	747151	6.539	Maternal	0.747151	I
I	747217	7.876	Maternal	0.747217	I
I	747229	7.876	Maternal	0.747229	I
I	747236	7.876	Maternal	0.747236	I
I	747286	8.615	Maternal	0.747286	I
I	922261	8.762	Maternal	0.922261	I
I	1278493	8.909	Maternal	1.278493	I
I	1278519	8.909	Maternal	1.278519	I
I	1302060	10.246	Maternal	1.30206	I
I	1302063	10.246	Maternal	1.302063	I
I	1302069	10.246	Maternal	1.302069	I
I	1302075	10.246	Maternal	1.302075	I
I	1302078	10.246	Maternal	1.302078	I
I	1302157	11.433	Maternal	1.302157	I
I	1302246	11.433	Maternal	1.302246	I
I	1302248	11.433	Maternal	1.302248	I
I	1476360	11.433	Maternal	1.47636	I
I	1476387	11.433	Maternal	1.476387	I
I	1476389	11.433	Maternal	1.476389	I
I	1476390	11.433	Maternal	1.47639	I
I	1476408	11.433	Maternal	1.476408	I
I	1512391	12.172	Maternal	1.512391	I
I	1512401	12.172	Maternal	1.512401	I
I	1512410	12.762	Maternal	1.51241	I
I	1512425	12.762	Maternal	1.512425	I
I	1806174	13.056	Maternal	1.806174	I
I	1806195	13.056	Maternal	1.806195	I
I	1806198	13.056	Maternal	1.806198	I
I	1806204	13.056	Maternal	1.806204	I
I	1806210	13.203	Maternal	1.80621	I
I	1806216	13.203	Maternal	1.806216	I
I	1806237	13.203	Maternal	1.806237	I
I	1806243	13.203	Maternal	1.806243	I
I	1806300	14.691	Maternal	1.8063	I
I	1851788	14.838	Maternal	1.851788	I
I	1851824	14.838	Maternal	1.851824	I
I	1851827	14.838	Maternal	1.851827	I
I	1865458	15.576	Maternal	1.865458	I
I	1865479	15.576	Maternal	1.865479	I
I	1865480	15.576	Maternal	1.86548	I
I	1865506	15.576	Maternal	1.865506	I
I	1865557	16.166	Maternal	1.865557	I
I	2007573	16.313	Maternal	2.007573	I
I	2007617	16.313	Maternal	2.007617	I
I	2007630	16.313	Maternal	2.00763	I
I	2023297	16.46	Maternal	2.023297	I
I	2070392	16.46	Maternal	2.070392	I
I	2113910	16.46	Maternal	2.11391	I
I	2113970	16.46	Maternal	2.11397	I
I	2113979	16.46	Maternal	2.113979	I
I	2176986	16.607	Maternal	2.176986	I
I	2177019	16.607	Maternal	2.177019	I
I	2177037	16.607	Maternal	2.177037	I
I	2177040	16.607	Maternal	2.17704	I
I	2177049	16.607	Maternal	2.177049	I
I	2177060	16.607	Maternal	2.17706	I
I	2180653	17.345	Maternal	2.180653	I
I	2182854	17.492	Maternal	2.182854	I
I	2200255	17.492	Maternal	2.200255	I
I	2200310	17.492	Maternal	2.20031	I
I	2200314	17.492	Maternal	2.200314	I
I	2216175	18.529	Maternal	2.216175	I
I	2426331	18.971	Maternal	2.426331	I
I	2426352	18.971	Maternal	2.426352	I
I	2620669	19.265	Maternal	2.620669	I
I	2620671	19.265	Maternal	2.620671	I
I	2620674	19.265	Maternal	2.620674	I
I	3131169	20.004	Maternal	3.131169	I
I	3131184	20.004	Maternal	3.131184	I
I	3132396	20.004	Maternal	3.132396	I
I	3155961	20.151	Maternal	3.155961	I
I	3255315	20.297	Maternal	3.255315	I
I	3255318	20.297	Maternal	3.255318	I
I	3255365	20.739	Maternal	3.255365	I
I	3353269	21.033	Maternal	3.353269	I
I	3353284	21.033	Maternal	3.353284	I
I	3373604	21.327	Maternal	3.373604	I
I	3373606	21.327	Maternal	3.373606	I
I	3373611	21.327	Maternal	3.373611	I
I	3373612	21.327	Maternal	3.373612	I
I	3373613	21.327	Maternal	3.373613	I
I	3373625	21.917	Maternal	3.373625	I
I	3373634	21.917	Maternal	3.373634	I
I	3373637	21.917	Maternal	3.373637	I
I	3373640	21.917	Maternal	3.37364	I
I	3373646	21.917	Maternal	3.373646	I
I	3373669	21.917	Maternal	3.373669	I
I	3422516	22.212	Maternal	3.422516	I
I	3422520	22.212	Maternal	3.42252	I
I	3422526	22.212	Maternal	3.422526	I
I	3524736	22.212	Maternal	3.524736	I
I	3660052	22.506	Maternal	3.660052	I
I	3660053	22.506	Maternal	3.660053	I
I	3660061	22.506	Maternal	3.660061	I
I	3660089	22.506	Maternal	3.660089	I
I	3660114	22.506	Maternal	3.660114	I
I	3660120	22.506	Maternal	3.66012	I
I	3733511	22.506	Maternal	3.733511	I
I	3733751	22.506	Maternal	3.733751	I
I	3733762	22.506	Maternal	3.733762	I
I	3733821	22.506	Maternal	3.733821	I
I	3770921	22.506	Maternal	3.770921	I
I	3770933	22.8	Maternal	3.770933	I
I	3770951	22.8	Maternal	3.770951	I
I	3770998	22.8	Maternal	3.770998	I
I	3902640	23.242	Maternal	3.90264	I
I	3902646	23.242	Maternal	3.902646	I
I	3960261	23.388	Maternal	3.960261	I
I	3960271	23.388	Maternal	3.960271	I
I	3960275	23.388	Maternal	3.960275	I
I	3979298	23.535	Maternal	3.979298	I
I	3979307	23.535	Maternal	3.979307	I
I	3979394	23.535	Maternal	3.979394	I
I	3982334	23.535	Maternal	3.982334	I
I	4234840	23.535	Maternal	4.23484	I
I	4234846	23.535	Maternal	4.234846	I
I	4234879	23.535	Maternal	4.234879	I
I	4367579	23.535	Maternal	4.367579	I
I	4380774	23.829	Maternal	4.380774	I
I	4381222	23.829	Maternal	4.381222	I
I	4416244	23.829	Maternal	4.416244	I
I	4428941	23.976	Maternal	4.428941	I
I	4428995	23.976	Maternal	4.428995	I
I	4431297	24.418	Maternal	4.431297	I
I	4462139	24.565	Maternal	4.462139	I
I	4462142	24.565	Maternal	4.462142	I
I	4462151	24.565	Maternal	4.462151	I
I	4462157	24.565	Maternal	4.462157	I
I	4462184	24.565	Maternal	4.462184	I
I	4462187	24.565	Maternal	4.462187	I
I	4462193	24.565	Maternal	4.462193	I
I	4625542	25.007	Maternal	4.625542	I
I	4625970	25.154	Maternal	4.62597	I
I	4661755	25.3	Maternal	4.661755	I
I	4661764	25.3	Maternal	4.661764	I
I	4661785	25.3	Maternal	4.661785	I
I	4661803	25.595	Maternal	4.661803	I
I	4661809	25.595	Maternal	4.661809	I
I	4692461	26.036	Maternal	4.692461	I
I	4692539	26.036	Maternal	4.692539	I
I	4807349	26.036	Maternal	4.807349	I
I	4807389	26.036	Maternal	4.807389	I
I	4849278	26.036	Maternal	4.849278	I
I	4849281	26.036	Maternal	4.849281	I
I	4849301	26.036	Maternal	4.849301	I
I	4904714	26.036	Maternal	4.904714	I
I	4913824	26.036	Maternal	4.913824	I
I	4913911	26.036	Maternal	4.913911	I
I	4913938	26.036	Maternal	4.913938	I
I	4913954	26.036	Maternal	4.913954	I
I	4950949	26.036	Maternal	4.950949	I
I	4950973	26.036	Maternal	4.950973	I
I	4950999	26.036	Maternal	4.950999	I
I	4990767	26.183	Maternal	4.990767	I
I	4990773	26.183	Maternal	4.990773	I
I	4990789	26.183	Maternal	4.990789	I
I	4990809	26.183	Maternal	4.990809	I
I	4990836	26.183	Maternal	4.990836	I
I	4990837	26.183	Maternal	4.990837	I
I	4997222	26.477	Maternal	4.997222	I
I	4997241	26.477	Maternal	4.997241	I
I	4997252	26.477	Maternal	4.997252	I
I	5013109	26.477	Maternal	5.013109	I
I	5017398	26.477	Maternal	5.017398	I
I	5020390	26.477	Maternal	5.02039	I
I	5020432	26.477	Maternal	5.020432	I
I	5020617	26.624	Maternal	5.020617	I
I	5021198	26.624	Maternal	5.021198	I
I	5021219	26.624	Maternal	5.021219	I
I	5021252	26.624	Maternal	5.021252	I
I	5021291	26.624	Maternal	5.021291	I
I	5021331	26.918	Maternal	5.021331	I
I	5032667	27.212	Maternal	5.032667	I
I	5032676	27.212	Maternal	5.032676	I
I	5032691	27.212	Maternal	5.032691	I
I	5032692	27.212	Maternal	5.032692	I
I	5032696	27.212	Maternal	5.032696	I
I	5032706	27.212	Maternal	5.032706	I
I	5032724	27.212	Maternal	5.032724	I
I	5058309	28.1	Maternal	5.058309	I
I	5081139	28.394	Maternal	5.081139	I
I	5081140	28.394	Maternal	5.08114	I
I	5081160	28.394	Maternal	5.08116	I
I	5091327	28.394	Maternal	5.091327	I
I	5150293	28.394	Maternal	5.150293	I
I	5150313	28.394	Maternal	5.150313	I
I	5165738	28.394	Maternal	5.165738	I
I	5168757	28.394	Maternal	5.168757	I
I	5168774	28.688	Maternal	5.168774	I
I	5267723	28.982	Maternal	5.267723	I
I	5267740	28.982	Maternal	5.26774	I
I	5267753	28.982	Maternal	5.267753	I
I	5303994	28.982	Maternal	5.303994	I
I	5303996	28.982	Maternal	5.303996	I
I	5304004	28.982	Maternal	5.304004	I
I	5305465	28.982	Maternal	5.305465	I
I	5305477	28.982	Maternal	5.305477	I
I	5305480	28.982	Maternal	5.30548	I
I	5335552	29.424	Maternal	5.335552	I
I	5335570	29.424	Maternal	5.33557	I
I	5375180	29.718	Maternal	5.37518	I
I	5404211	29.718	Maternal	5.404211	I
I	5404418	29.865	Maternal	5.404418	I
I	5440933	29.865	Maternal	5.440933	I
I	5443037	29.865	Maternal	5.443037	I
I	5443049	29.865	Maternal	5.443049	I
I	5451554	29.865	Maternal	5.451554	I
I	5471952	29.865	Maternal	5.471952	I
I	5471970	29.865	Maternal	5.47197	I
I	5471972	29.865	Maternal	5.471972	I
I	5471973	29.865	Maternal	5.471973	I
I	5471981	29.865	Maternal	5.471981	I
I	5471993	29.865	Maternal	5.471993	I
I	5487433	29.865	Maternal	5.487433	I
I	5487455	29.865	Maternal	5.487455	I
I	5487494	29.865	Maternal	5.487494	I
I	5487500	29.865	Maternal	5.4875	I
I	5487563	29.865	Maternal	5.487563	I
I	5490186	29.865	Maternal	5.490186	I
I	5490190	29.865	Maternal	5.49019	I
I	5559359	30.159	Maternal	5.559359	I
I	5559371	30.159	Maternal	5.559371	I
I	5559389	30.159	Maternal	5.559389	I
I	5559422	30.159	Maternal	5.559422	I
I	5611666	30.159	Maternal	5.611666	I
I	5653928	30.159	Maternal	5.653928	I
I	5653940	30.159	Maternal	5.65394	I
I	5787552	30.159	Maternal	5.787552	I
I	5838323	30.159	Maternal	5.838323	I
I	5838325	30.159	Maternal	5.838325	I
I	5838334	30.159	Maternal	5.838334	I
I	5848834	30.159	Maternal	5.848834	I
I	5848860	30.159	Maternal	5.84886	I
I	5848861	30.159	Maternal	5.848861	I
I	5849038	30.306	Maternal	5.849038	I
I	5849068	30.306	Maternal	5.849068	I
I	5849705	30.306	Maternal	5.849705	I
I	5849708	30.306	Maternal	5.849708	I
I	5851596	30.306	Maternal	5.851596	I
I	5860993	30.306	Maternal	5.860993	I
I	5861022	30.306	Maternal	5.861022	I
I	5876604	30.306	Maternal	5.876604	I
I	5886237	30.306	Maternal	5.886237	I
I	5977415	30.306	Maternal	5.977415	I
I	6020675	30.306	Maternal	6.020675	I
I	6020729	30.306	Maternal	6.020729	I
I	6079627	30.306	Maternal	6.079627	I
I	6079664	30.306	Maternal	6.079664	I
I	6079666	30.306	Maternal	6.079666	I
I	6079686	30.306	Maternal	6.079686	I
I	6100429	30.306	Maternal	6.100429	I
I	6101115	30.306	Maternal	6.101115	I
I	6101126	30.306	Maternal	6.101126	I
I	6113415	30.306	Maternal	6.113415	I
I	6115493	30.306	Maternal	6.115493	I
I	6115538	30.306	Maternal	6.115538	I
I	6116181	30.306	Maternal	6.116181	I
I	6129996	30.306	Maternal	6.129996	I
I	6138501	30.306	Maternal	6.138501	I
I	6150518	30.306	Maternal	6.150518	I
I	6167912	30.453	Maternal	6.167912	I
I	6167928	30.453	Maternal	6.167928	I
I	6167936	30.453	Maternal	6.167936	I
I	6167966	30.453	Maternal	6.167966	I
I	6174535	30.453	Maternal	6.174535	I
I	6185841	30.453	Maternal	6.185841	I
I	6185904	30.453	Maternal	6.185904	I
I	6197564	30.453	Maternal	6.197564	I
I	6197565	30.453	Maternal	6.197565	I
I	6197567	30.453	Maternal	6.197567	I
I	6260082	30.453	Maternal	6.260082	I
I	6260091	30.453	Maternal	6.260091	I
I	6260124	30.453	Maternal	6.260124	I
I	6260142	30.6	Maternal	6.260142	I
I	6260172	30.6	Maternal	6.260172	I
I	6260187	30.6	Maternal	6.260187	I
I	6263252	30.6	Maternal	6.263252	I
I	6263273	30.6	Maternal	6.263273	I
I	6263288	30.6	Maternal	6.263288	I
I	6285153	30.747	Maternal	6.285153	I
I	6366218	30.747	Maternal	6.366218	I
I	6366230	30.747	Maternal	6.36623	I
I	6366257	30.747	Maternal	6.366257	I
I	6366398	30.747	Maternal	6.366398	I
I	6366401	30.747	Maternal	6.366401	I
I	6366407	30.747	Maternal	6.366407	I
I	6366497	30.747	Maternal	6.366497	I
I	6366500	30.747	Maternal	6.3665	I
I	6375797	30.747	Maternal	6.375797	I
I	6375824	30.747	Maternal	6.375824	I
I	6375938	30.747	Maternal	6.375938	I
I	6380516	30.747	Maternal	6.380516	I
I	6388393	30.747	Maternal	6.388393	I
I	6444521	30.747	Maternal	6.444521	I
I	6484053	30.747	Maternal	6.484053	I
I	6484062	30.747	Maternal	6.484062	I
I	6500143	30.747	Maternal	6.500143	I
I	6507373	30.747	Maternal	6.507373	I
I	6507414	30.747	Maternal	6.507414	I
I	6562016	30.747	Maternal	6.562016	I
I	6600349	30.747	Maternal	6.600349	I
I	6625295	30.747	Maternal	6.625295	I
I	6669078	30.747	Maternal	6.669078	I
I	6686621	30.747	Maternal	6.686621	I
I	6690138	31.041	Maternal	6.690138	I
I	6690140	31.041	Maternal	6.69014	I
I	6690157	31.041	Maternal	6.690157	I
I	6724444	31.041	Maternal	6.724444	I
I	6724471	31.041	Maternal	6.724471	I
I	6741324	31.041	Maternal	6.741324	I
I	6741360	31.041	Maternal	6.74136	I
I	6742095	31.041	Maternal	6.742095	I
I	6742107	31.041	Maternal	6.742107	I
I	6742116	31.041	Maternal	6.742116	I
I	6767924	31.188	Maternal	6.767924	I
I	6767937	31.188	Maternal	6.767937	I
I	6810357	31.188	Maternal	6.810357	I
I	6818692	31.188	Maternal	6.818692	I
I	6836280	31.188	Maternal	6.83628	I
I	6836295	31.188	Maternal	6.836295	I
I	6857164	31.188	Maternal	6.857164	I
I	6952321	31.188	Maternal	6.952321	I
I	6952333	31.188	Maternal	6.952333	I
I	6952669	31.188	Maternal	6.952669	I
I	6977393	31.188	Maternal	6.977393	I
I	6977401	31.188	Maternal	6.977401	I
I	6987581	31.188	Maternal	6.987581	I
I	7119663	31.188	Maternal	7.119663	I
I	7183446	31.188	Maternal	7.183446	I
I	7183509	31.188	Maternal	7.183509	I
I	7183560	31.188	Maternal	7.18356	I
I	7256984	31.188	Maternal	7.256984	I
I	7428915	31.188	Maternal	7.428915	I
I	7428929	31.188	Maternal	7.428929	I
I	7428946	31.188	Maternal	7.428946	I
I	7430225	31.188	Maternal	7.430225	I
I	7430228	31.188	Maternal	7.430228	I
I	7548562	31.188	Maternal	7.548562	I
I	7548610	31.188	Maternal	7.54861	I
I	7559222	31.188	Maternal	7.559222	I
I	7655943	31.188	Maternal	7.655943	I
I	7715452	31.188	Maternal	7.715452	I
I	7715500	31.188	Maternal	7.7155	I
I	7721908	31.188	Maternal	7.721908	I
I	7743245	31.188	Maternal	7.743245	I
I	7746074	31.188	Maternal	7.746074	I
I	7746081	31.188	Maternal	7.746081	I
I	7746089	31.188	Maternal	7.746089	I
I	7754290	31.188	Maternal	7.75429	I
I	7754294	31.188	Maternal	7.754294	I
I	7754295	31.188	Maternal	7.754295	I
I	7754323	31.188	Maternal	7.754323	I
I	7754326	31.188	Maternal	7.754326	I
I	7754410	31.188	Maternal	7.75441	I
I	7754482	31.188	Maternal	7.754482	I
I	7754500	31.188	Maternal	7.7545	I
I	7754554	31.188	Maternal	7.754554	I
I	7754956	31.188	Maternal	7.754956	I
I	7755965	31.188	Maternal	7.755965	I
I	7811797	31.188	Maternal	7.811797	I
I	7819478	31.188	Maternal	7.819478	I
I	7842869	31.188	Maternal	7.842869	I
I	7842883	31.188	Maternal	7.842883	I
I	7842910	31.188	Maternal	7.84291	I
I	7842956	31.334	Maternal	7.842956	I
I	7884134	31.334	Maternal	7.884134	I
I	7884146	31.334	Maternal	7.884146	I
I	7884152	31.334	Maternal	7.884152	I
I	7884186	31.334	Maternal	7.884186	I
I	7886940	31.481	Maternal	7.88694	I
I	7886955	31.481	Maternal	7.886955	I
I	7897093	31.481	Maternal	7.897093	I
I	7931846	31.481	Maternal	7.931846	I
I	7932043	31.481	Maternal	7.932043	I
I	7944484	31.481	Maternal	7.944484	I
I	7944486	31.481	Maternal	7.944486	I
I	7944498	31.481	Maternal	7.944498	I
I	7944681	31.481	Maternal	7.944681	I
I	8131773	31.481	Maternal	8.131773	I
I	8358403	31.481	Maternal	8.358403	I
I	8358445	31.481	Maternal	8.358445	I
I	8384165	31.775	Maternal	8.384165	I
I	8384170	31.775	Maternal	8.38417	I
I	8384179	31.775	Maternal	8.384179	I
I	8384260	31.775	Maternal	8.38426	I
I	8384268	31.775	Maternal	8.384268	I
I	8384281	31.775	Maternal	8.384281	I
I	8450716	31.775	Maternal	8.450716	I
I	8464428	31.775	Maternal	8.464428	I
I	8464465	31.775	Maternal	8.464465	I
I	8464467	31.775	Maternal	8.464467	I
I	8475974	31.775	Maternal	8.475974	I
I	8475997	31.775	Maternal	8.475997	I
I	8476029	31.775	Maternal	8.476029	I
I	8476056	31.775	Maternal	8.476056	I
I	8476089	31.775	Maternal	8.476089	I
I	8476127	31.775	Maternal	8.476127	I
I	8514890	31.775	Maternal	8.51489	I
I	8539620	31.775	Maternal	8.53962	I
I	8540353	31.775	Maternal	8.540353	I
I	8653898	31.775	Maternal	8.653898	I
I	8655812	31.775	Maternal	8.655812	I
I	8722602	31.775	Maternal	8.722602	I
I	8722643	31.775	Maternal	8.722643	I
I	8722661	31.775	Maternal	8.722661	I
I	8756877	31.922	Maternal	8.756877	I
I	8761126	31.922	Maternal	8.761126	I
I	8811680	31.922	Maternal	8.81168	I
I	8811690	31.922	Maternal	8.81169	I
I	8873587	31.922	Maternal	8.873587	I
I	8877941	31.922	Maternal	8.877941	I
I	9053237	32.069	Maternal	9.053237	I
I	9053270	32.069	Maternal	9.05327	I
I	9073705	32.069	Maternal	9.073705	I
I	9073791	32.069	Maternal	9.073791	I
I	9117061	32.069	Maternal	9.117061	I
I	9131808	32.069	Maternal	9.131808	I
I	9131952	32.069	Maternal	9.131952	I
I	9131970	32.069	Maternal	9.13197	I
I	9168870	32.069	Maternal	9.16887	I
I	9168885	32.069	Maternal	9.168885	I
I	9168927	32.363	Maternal	9.168927	I
I	9193724	32.363	Maternal	9.193724	I
I	9193745	32.363	Maternal	9.193745	I
I	9193769	32.363	Maternal	9.193769	I
I	9193788	32.363	Maternal	9.193788	I
I	9193794	32.363	Maternal	9.193794	I
I	9246566	32.363	Maternal	9.246566	I
I	9247024	32.363	Maternal	9.247024	I
I	9269230	32.363	Maternal	9.26923	I
I	9269983	32.363	Maternal	9.269983	I
I	9270002	32.363	Maternal	9.270002	I
I	9271599	32.363	Maternal	9.271599	I
I	9299307	32.363	Maternal	9.299307	I
I	9317804	32.363	Maternal	9.317804	I
I	9320929	32.363	Maternal	9.320929	I
I	9327890	32.363	Maternal	9.32789	I
I	9415782	32.363	Maternal	9.415782	I
I	9415872	32.363	Maternal	9.415872	I
I	9430370	32.363	Maternal	9.43037	I
I	9434718	32.51	Maternal	9.434718	I
I	9557438	32.51	Maternal	9.557438	I
I	9581128	32.51	Maternal	9.581128	I
I	9607945	32.51	Maternal	9.607945	I
I	9815593	32.51	Maternal	9.815593	I
I	9832422	32.51	Maternal	9.832422	I
I	9858661	32.51	Maternal	9.858661	I
I	9867902	32.51	Maternal	9.867902	I
I	9867934	32.51	Maternal	9.867934	I
I	9917136	32.51	Maternal	9.917136	I
I	9928755	32.51	Maternal	9.928755	I
I	9928897	32.51	Maternal	9.928897	I
I	9956765	32.657	Maternal	9.956765	I
I	9956768	32.657	Maternal	9.956768	I
I	10050084	32.657	Maternal	10.050084	I
I	10074313	32.657	Maternal	10.074313	I
I	10260332	32.657	Maternal	10.260332	I
I	10288741	32.657	Maternal	10.288741	I
I	10377752	32.657	Maternal	10.377752	I
I	10386445	32.657	Maternal	10.386445	I
I	10390155	32.657	Maternal	10.390155	I
I	10421190	32.657	Maternal	10.42119	I
I	10431820	32.657	Maternal	10.43182	I
I	10466514	32.657	Maternal	10.466514	I
I	10471070	32.657	Maternal	10.47107	I
I	10511307	32.804	Maternal	10.511307	I
I	10811726	32.951	Maternal	10.811726	I
I	10903387	32.951	Maternal	10.903387	I
I	11043461	32.951	Maternal	11.043461	I
I	11043464	32.951	Maternal	11.043464	I
I	11105104	33.097	Maternal	11.105104	I
I	11115902	33.097	Maternal	11.115902	I
I	11118882	33.097	Maternal	11.118882	I
I	11216669	33.097	Maternal	11.216669	I
I	11230678	33.097	Maternal	11.230678	I
I	11247955	33.097	Maternal	11.247955	I
I	11247960	33.097	Maternal	11.24796	I
I	11277413	33.097	Maternal	11.277413	I
I	11278740	33.097	Maternal	11.27874	I
I	11280372	33.097	Maternal	11.280372	I
I	11347588	33.097	Maternal	11.347588	I
I	11347604	33.097	Maternal	11.347604	I
I	11347744	33.097	Maternal	11.347744	I
I	11348245	33.097	Maternal	11.348245	I
I	11353026	33.097	Maternal	11.353026	I
I	11353062	33.097	Maternal	11.353062	I
I	11353170	33.097	Maternal	11.35317	I
I	11353278	33.097	Maternal	11.353278	I
I	11402326	33.097	Maternal	11.402326	I
I	11402338	33.097	Maternal	11.402338	I
I	11402385	33.097	Maternal	11.402385	I
I	11474227	33.097	Maternal	11.474227	I
I	11478425	33.097	Maternal	11.478425	I
I	11487186	33.097	Maternal	11.487186	I
I	11490134	33.097	Maternal	11.490134	I
I	11492198	33.097	Maternal	11.492198	I
I	11616634	33.097	Maternal	11.616634	I
I	11687979	33.097	Maternal	11.687979	I
I	11687985	33.097	Maternal	11.687985	I
I	11687990	33.097	Maternal	11.68799	I
I	11689574	33.392	Maternal	11.689574	I
I	11689599	33.392	Maternal	11.689599	I
I	11718601	33.392	Maternal	11.718601	I
I	11732623	33.392	Maternal	11.732623	I
I	11732629	33.392	Maternal	11.732629	I
I	11732659	33.392	Maternal	11.732659	I
I	11732773	33.392	Maternal	11.732773	I
I	11732783	33.392	Maternal	11.732783	I
I	11732790	33.392	Maternal	11.73279	I
I	11740682	33.392	Maternal	11.740682	I
I	11818579	33.538	Maternal	11.818579	I
I	11818603	33.538	Maternal	11.818603	I
I	11872814	33.538	Maternal	11.872814	I
I	11872865	33.538	Maternal	11.872865	I
I	11872898	33.538	Maternal	11.872898	I
I	11872994	33.538	Maternal	11.872994	I
I	11873015	33.538	Maternal	11.873015	I
I	11873021	33.538	Maternal	11.873021	I
I	11920480	33.538	Maternal	11.92048	I
I	11920519	33.538	Maternal	11.920519	I
I	11920525	33.538	Maternal	11.920525	I
I	11920539	33.538	Maternal	11.920539	I
I	11934221	33.538	Maternal	11.934221	I
I	11934422	33.685	Maternal	11.934422	I
I	11991416	33.685	Maternal	11.991416	I
I	11991842	33.685	Maternal	11.991842	I
I	12017538	33.685	Maternal	12.017538	I
I	12017546	33.685	Maternal	12.017546	I
I	12017558	33.685	Maternal	12.017558	I
I	12031434	33.685	Maternal	12.031434	I
I	12031735	33.685	Maternal	12.031735	I
I	12031737	33.685	Maternal	12.031737	I
I	12031749	33.832	Maternal	12.031749	I
I	12033510	33.979	Maternal	12.03351	I
I	12057357	33.979	Maternal	12.057357	I
I	12057695	33.979	Maternal	12.057695	I
I	12057698	33.979	Maternal	12.057698	I
I	12061234	33.979	Maternal	12.061234	I
I	12061238	33.979	Maternal	12.061238	I
I	12061258	33.979	Maternal	12.061258	I
