CHR	pos	chr	genetic
I	10885970	1	388169.776870279
I	10889371	1	388169.776870329
I	10975081	1	388170.073155977
I	10979908	1	388170.369546019
I	10984894	1	388170.369546069
I	11069508	1	388170.665300308
I	11070812	1	388170.665300358
I	11071761	1	388170.665300408
I	11072403	1	388171.176874689
I	11073890	1	388171.68916941
I	11074535	1	388172.199244713
I	11075815	1	388172.712475066
I	11083960	1	388173.034476122
I	11095723	1	388173.558865603
I	11098118	1	388173.87539401
I	11102360	1	388173.87539406
I	11382464	1	388174.380051993
I	11460182	1	388176.545822651
I	11544368	1	388177.516622292
I	11546369	1	388178.027466065
I	11637287	1	388178.474289362
I	11643241	1	388178.987503142
I	11718811	1	388179.500381262
I	11854321	1	388180.0132594
I	11892602	1	388180.526137537
I	11976940	1	388181.039029098
I	12114811	1	388181.551867116
I	12121759	1	388181.551867166
I	12132787	1	388181.551867216
I	12140780	1	388181.551867266
I	12177001	1	388181.551867316
I	12249326	1	388182.064705333
I	12292455	1	388182.577596895
I	12309812	1	388183.090475032
I	12346743	1	388183.603353169
I	12351886	1	388184.116244729
I	12410560	1	388184.629083024
I	12411707	1	388184.629083074
I	12421701	1	388184.629083124
I	12444337	1	388185.141934839
I	12480346	1	388185.654786554
I	12482644	1	388185.654786604
I	12554690	1	388185.654786654
I	12596736	1	388186.167624909
I	12603890	1	388186.681572452
I	12603917	1	388186.986310467
I	12604328	1	388187.50063367
I	12604455	1	388187.80537164
I	12606111	1	388188.319308823
I	12622067	1	388188.831557873
I	12632850	1	388189.344452627
I	12697278	1	388189.857290921
I	12698908	1	388189.857290971
I	12727897	1	388189.857291021
I	12792804	1	388190.370116577
I	12796203	1	388190.370116627
I	12822476	1	388190.370116677
I	12827866	1	388190.884030844
I	12840544	1	388191.185474733
I	12844641	1	388191.701998913
I	12873260	1	388191.701998963
I	12882388	1	388191.701999013
I	12920015	1	388191.701999063
I	12959222	1	388191.701999113
I	12968922	1	388192.001249508
I	12970958	1	388192.515227868
I	13002473	1	388193.028112248
I	13032419	1	388193.539723592
I	13056347	1	388194.049908132
I	13122792	1	388195.097372135
I	13173972	1	388195.605339234
I	13261575	1	388195.605339284
I	13288165	1	388195.605339334
I	13290892	1	388195.907013488
I	13294061	1	388195.907013538
I	13320623	1	388196.206089337
I	13320818	1	388196.72006868
I	13320972	1	388197.233279162
I	13321281	1	388197.68011924
I	13322357	1	388198.190333085
I	13322634	1	388199.170669423
I	13330418	1	388199.469765506
I	13331124	1	388199.984113409
I	13350920	1	388200.286599841
I	13362517	1	388200.286599891
I	13372498	1	388200.286599941
I	13374285	1	388200.7994513
I	13378758	1	388201.312342793
I	13460670	1	388201.825217734
I	13463013	1	388202.338095888
I	13467890	1	388202.850974026
I	13483062	1	388203.363852164
I	13513344	1	388203.876730285
I	13519947	1	388204.389621845
I	13556032	1	388204.90246014
I	13557252	1	388204.90246019
I	13599248	1	388204.90246024
I	13623148	1	388205.415298535
I	13660490	1	388205.928190095
I	13739770	1	388206.441068232
I	13747304	1	388206.953946494
I	13825900	1	388207.464493941
I	13826497	1	388208.441083056
I	13828748	1	388208.441083106
I	13926061	1	388209.415203648
I	13934534	1	388209.415203698
I	13945632	1	388209.415203748
I	13955824	1	388209.928055651
I	13962802	1	388210.440907087
I	13964891	1	388210.440907137
I	13978539	1	388210.440907187
I	13994552	1	388210.440907237
I	14001365	1	388210.440907287
I	14003000	1	388210.953745449
I	14034889	1	388211.46393711
I	14141722	1	388212.511376696
I	14205773	1	388213.021554934
I	14304620	1	388213.534433216
I	14356826	1	388214.047311354
I	14425936	1	388214.560189492
I	14458266	1	388215.073067629
I	14620364	1	388215.585959191
I	14666197	1	388216.098797208
I	14669849	1	388216.098797258
I	14719705	1	388216.098797308
I	14723437	1	388216.098797358
I	14817762	1	388216.098797408
I	14969701	1	388216.611622419
I	14972886	1	388216.611622469
I	15092362	1	388216.611622519
I	15505755	1	388216.611622569
I	15509505	1	388216.871256583
II	566445	2	11400.3274565688
II	596706	2	11400.5871168787
II	648200	2	11401.0999685958
II	649257	2	11401.0999686458
II	747075	2	11401.0999686958
II	864459	2	11401.6128071335
II	895711	2	11402.1230257764
II	939575	2	11403.1676977953
II	1020483	2	11403.1676978453
II	1023349	2	11403.6806472628
II	1037166	2	11404.1934983481
II	1038195	2	11404.1934983981
II	1180337	2	11404.1934984481
II	1264584	2	11404.7040094805
II	1293589	2	11405.6799941797
II	1296554	2	11405.6799942297
II	1358633	2	11406.1264005351
II	1369647	2	11406.6396445273
II	1374036	2	11406.6396445773
II	1434019	2	11406.6396446273
II	1434086	2	11406.6396446773
II	1533667	2	11407.1470816954
II	2249065	2	11408.7436166299
II	2369899	2	11409.7854808582
II	2381607	2	11410.2956596971
II	2458452	2	11410.808551401
II	2507200	2	11411.3213896959
II	2508122	2	11411.3213897459
II	2588428	2	11411.3213897959
II	2673389	2	11411.8342280909
II	2719844	2	11412.3471196506
II	2834289	2	11412.8599977878
II	2976845	2	11413.3728760678
II	3219941	2	11413.8833900912
II	3220328	2	11414.863405947
II	3220642	2	11415.3715486453
II	3409283	2	11416.3515645011
II	3958023	2	11416.8620785276
II	4106267	2	11417.3748996733
II	4172909	2	11417.8989743063
II	4297372	2	11418.4203476879
II	4868879	2	11419.4677426075
II	4924682	2	11419.9778810245
II	4933529	2	11419.9778810746
II	4934624	2	11419.9778811245
II	4935704	2	11419.9778811745
II	4935767	2	11419.9778812245
II	5109111	2	11419.9778812745
II	5231409	2	11420.4907192834
II	5505835	2	11421.0036107851
II	7268612	2	11421.5176095375
II	7270956	2	11421.8128800507
II	7271094	2	11421.8128801007
II	8103197	2	11422.1092526493
II	8103469	2	11422.1092526993
II	8107876	2	11422.1092527493
II	8108083	2	11422.1092527993
II	9443230	2	11423.1537955327
II	10157747	2	11423.6640014865
II	10263444	2	11424.1768766105
II	10519513	2	11424.6897547638
II	10564483	2	11425.202632901
II	11082740	2	11425.7155110937
II	11237438	2	11426.2283782601
II	11290729	2	11426.7423570202
II	11292943	2	11427.0415580909
II	11293176	2	11427.0415581409
II	11628639	2	11427.3407668292
II	11738428	2	11427.8547589206
II	11842801	2	11428.3675968791
II	11843051	2	11428.3675969291
II	11862748	2	11428.3675969791
II	11865782	2	11428.3675970291
II	11882803	2	11428.3675970791
II	12096010	2	11428.8804223611
II	12098763	2	11428.8804224111
II	12189090	2	11428.8804224611
II	12304538	2	11429.3932741772
II	12551171	2	11429.9061256148
II	12562034	2	11429.9061256648
II	12637785	2	11429.9061257148
II	12644109	2	11429.9061257648
II	12768774	2	11429.9061258148
II	12776806	2	11429.9061258648
II	12945866	2	11429.9061259148
II	12947235	2	11429.9061259648
II	13083593	2	11429.9061260148
II	13115387	2	11430.2096542346
II	13115492	2	11430.5164808663
II	13115690	2	11430.8199943241
II	13203789	2	11431.1257751802
II	13405486	2	11431.6396859128
II	13408780	2	11431.6396859628
II	13415785	2	11431.6396860128
II	13422912	2	11431.6396860628
II	13435785	2	11431.6396861128
II	13457163	2	11432.1536265454
II	13466934	2	11432.4525167144
II	13485375	2	11432.4525167644
II	13489525	2	11432.4525168144
II	13513434	2	11432.4525168644
II	13542930	2	11432.4525169144
II	13545303	2	11432.4525169644
II	13573751	2	11432.4525170144
II	13577868	2	11432.4525170644
II	13589798	2	11432.7461885123
II	13601835	2	11433.2602635284
II	13608536	2	11433.2602635784
II	13645530	2	11433.2602636284
II	13646696	2	11433.2602636784
II	13649194	2	11433.7758251795
II	13680422	2	11433.7758252295
II	13715544	2	11433.7758252795
II	13732464	2	11433.7758253295
II	13753449	2	11433.7758253795
II	13772514	2	11433.7758254295
II	13778283	2	11434.2913869337
II	13782942	2	11434.2913869837
II	13792863	2	11434.2913870337
II	13805516	2	11434.2913870837
II	13822901	2	11434.2913871337
II	13861750	2	11434.2913871837
II	13863109	2	11434.2913872337
II	13870844	2	11434.8042392853
II	13899979	2	11435.3182066517
II	13901658	2	11435.6196593845
II	13918628	2	11436.1346554376
II	13951718	2	11436.4365316332
II	13952710	2	11436.4365316832
II	13971565	2	11436.4365317332
II	13997906	2	11436.4365317832
II	14068694	2	11436.4365318332
II	14076431	2	11436.7348997251
II	14089249	2	11437.2499386828
II	14126537	2	11437.548936001
II	14136022	2	11437.548936051
II	14136350	2	11437.548936101
II	14154190	2	11437.548936151
II	14181389	2	11437.548936201
II	14218918	2	11438.5906411208
II	14221910	2	11438.5906411708
II	14222413	2	11438.5906412207
II	14222895	2	11438.8941867269
II	14222968	2	11439.197740564
II	14224935	2	11439.5012952117
II	14230660	2	11439.804839684
II	14232178	2	11439.804839734
II	14237689	2	11439.804839784
II	14266206	2	11439.804839834
II	14293182	2	11439.804839884
II	14299276	2	11439.804839934
II	14299581	2	11439.804839984
II	14313281	2	11440.3176946482
II	14320707	2	11440.829910906
II	14322813	2	11440.829910956
II	14338485	2	11440.829911006
II	14343778	2	11441.3421014522
II	14348754	2	11441.3421015022
II	14369367	2	11441.3421015522
II	14373750	2	11442.386322367
II	14374218	2	11442.8965266674
II	14380343	2	11443.4094199084
II	14380943	2	11443.9219455147
II	14383239	2	11443.9219455647
II	14390299	2	11443.9219456147
II	14391979	2	11443.9219456647
II	14439276	2	11443.9219457147
II	14441863	2	11444.4347847369
II	14447997	2	11444.9288487213
II	14449234	2	11445.2219893445
II	14449740	2	11448.5562916078
II	14450148	2	11448.8462025032
II	14452587	2	11449.9826394084
II	14455944	2	11451.128273028
II	14469732	2	11451.429807666
II	14476034	2	11451.9441311369
II	14477246	2	11452.2498926454
II	14479368	2	11452.5556604979
II	14489880	2	11453.0699838898
II	14489971	2	11453.3720238661
II	14545275	2	11454.4205455982
II	14551456	2	11454.9317829441
II	14552966	2	11455.2375504912
II	14555854	2	11455.5410644068
II	14557081	2	11455.8478876646
II	14577675	2	11456.1514164734
II	14592053	2	11456.1514165234
II	14646517	2	11456.1514165734
II	14656741	2	11456.6642354139
II	14794089	2	11456.6642354639
II	14794090	2	11456.6642355139
II	14797356	2	11456.6642355639
II	14840354	2	11457.1771039002
II	14843019	2	11457.1771039502
II	14862079	2	11457.6900211101
II	14894913	2	11457.6900211601
II	14896372	2	11457.9904119845
II	14896556	2	11458.9724439417
II	14902282	2	11459.2694059243
II	14908920	2	11460.2477779375
II	14927668	2	11461.289909632
II	14930594	2	11461.289909682
II	14965776	2	11461.289909732
II	14972597	2	11461.5934389865
II	14978333	2	11461.900265441
II	14981361	2	11462.2037797049
II	15004179	2	11462.5095471607
II	15025067	2	11463.0234948293
II	15040270	2	11463.536332872
II	15126192	2	11463.536332922
II	15138342	2	11463.536332972
II	15139275	2	11463.536333022
II	15140368	2	11463.536333072
II	15151211	2	11464.0502878346
II	15154221	2	11464.3456747148
II	15155006	2	11464.3456747648
II	15172051	2	11464.6421753957
II	15182081	2	11464.6421754457
II	15313965	2	11465.1547240023
II	15314153	2	11465.1547240523
II	15337682	2	11465.1547241023
II	15362687	2	11466.1962329221
II	15376726	2	11466.1962329721
II	15407251	2	11466.7091545763
II	15413157	2	11466.7091546263
II	15419013	2	11466.7091546763
II	15426071	2	11466.7091547263
II	15468795	2	11466.7091547763
II	15492684	2	11467.2219940186
II	15544281	2	11467.2219940686
II	15589179	2	11467.2219941186
II	15594418	2	11467.2219941686
II	15617786	2	11467.2219942186
II	15622868	2	11467.2219942686
II	15658563	2	11467.2219943186
II	15667949	2	11467.2219943686
II	15680968	2	11467.2219944186
II	15681643	2	11467.2219944686
II	15704876	2	11467.2219945186
II	15740107	2	11467.7359539993
II	15750341	2	11468.0311094514
II	15758438	2	11468.0311095014
II	15796785	2	11468.0311095514
II	15797620	2	11468.0311096014
II	15813585	2	11468.0311096514
II	15819727	2	11468.0311097014
II	15829700	2	11468.0311097514
II	15835263	2	11468.0311098014
II	15880573	2	11468.0311098514
II	15883246	2	11468.0311099014
II	15905353	2	11468.0311099514
II	15909536	2	11468.0311100014
II	15918261	2	11468.0311100514
II	15921250	2	11468.0311101014
II	15962263	2	11468.0311101514
II	15976075	2	11468.0311102014
II	15996633	2	11468.0311102514
II	16001513	2	11468.0311103014
II	16058057	2	11468.0311103514
II	16059661	2	11468.0311104014
II	16105861	2	11468.3273678422
II	16107197	2	11468.3273678922
II	16120453	2	11468.3273679422
II	16128711	2	11468.3273679922
II	16159908	2	11468.3273680422
II	16259525	2	11468.8402195475
II	16282543	2	11469.3530711752
II	16299504	2	11469.3530712252
II	16444730	2	11469.3530712752
II	16451946	2	11469.6494431102
II	16454709	2	11469.6494431602
II	16566442	2	11469.9447261314
II	16571409	2	11470.2054880193
III	627126	3	627126
III	627645	3	627126.00000005
III	716441	3	627126.0000001
III	921457	3	627126.512912643
III	983903	3	627127.025803794
III	1046902	3	627127.538681931
III	1062222	3	627128.051560066
III	1112349	3	627128.567042113
III	1160417	3	627128.56704217
III	1167459	3	627128.56704222
III	1310459	3	627129.077236565
III	1348762	3	627129.590158184
III	1349561	3	627130.102364232
III	1352760	3	627130.102364282
III	1353182	3	627130.102364332
III	1365585	3	627130.614570381
III	1407559	3	627131.127478573
III	1531566	3	627131.640316868
III	1534560	3	627131.640316917
III	1567598	3	627131.640316968
III	1627975	3	627132.153155262
III	1645958	3	627132.666046822
III	1836246	3	627133.178924959
III	1884820	3	627133.691803097
III	1935798	3	627134.204694658
III	1985755	3	627134.717532675
III	1986247	3	627134.717532725
III	2017002	3	627134.717532775
III	2020243	3	627134.717532825
III	2021742	3	627134.717532875
III	2031404	3	627134.717532925
III	2041457	3	627134.717532975
III	2074216	3	627134.717533025
III	2076996	3	627134.717533075
III	2085093	3	627134.717533125
III	2085954	3	627134.717533175
III	2105799	3	627134.717533225
III	2110353	3	627135.230371243
III	2152789	3	627135.743262747
III	2168232	3	627136.2572167
III	2183208	3	627136.558681265
III	2188579	3	627137.073674006
III	2223078	3	627137.376188274
III	2224595	3	627137.376188324
III	2236691	3	627137.376188374
III	2241496	3	627137.376188424
III	2241663	3	627137.376188474
III	2246113	3	627137.376188524
III	2308850	3	627137.376188574
III	2311986	3	627137.376188624
III	2332365	3	627137.376188674
III	2372733	3	627137.376188724
III	2383587	3	627137.376188774
III	2393074	3	627137.376188824
III	2427266	3	627137.376188874
III	2471274	3	627137.376188924
III	2477667	3	627137.672675528
III	2479914	3	627137.672675578
III	2499149	3	627137.968063961
III	2500557	3	627138.481436499
III	2501874	3	627138.993658779
III	2513101	3	627138.993658829
III	2516275	3	627138.993658879
III	2521457	3	627139.505881218
III	2524624	3	627140.01814711
III	2526391	3	627140.530988389
III	2549448	3	627140.530988439
III	2593799	3	627140.530988489
III	2594610	3	627140.530988539
III	2614472	3	627140.530988589
III	2617400	3	627140.530988639
III	2622842	3	627141.043826724
III	2661883	3	627141.556718284
III	2677604	3	627142.069609843
III	2703514	3	627142.582448138
III	2741621	3	627142.582448188
III	2748099	3	627142.582448238
III	2836561	3	627143.096362407
III	2844505	3	627143.397806173
III	2848172	3	627143.914330315
III	2848173	3	627143.914330365
III	2901574	3	627143.914330415
III	2919020	3	627144.213565199
III	2931251	3	627144.7275433
III	2962749	3	627145.243077621
III	2965167	3	627145.243077671
III	2971077	3	627145.757059084
III	2971442	3	627146.058514879
III	2976690	3	627146.573484074
III	2984388	3	627146.878188275
III	2989907	3	627147.392085609
III	3002631	3	627147.392085659
III	3011454	3	627147.392085709
III	3012141	3	627147.392085759
III	3026675	3	627147.907527812
III	3031443	3	627147.907527862
III	3056294	3	627147.907527912
III	3219913	3	627148.417745869
III	3238184	3	627148.930610958
III	3253268	3	627148.930611008
III	3291621	3	627148.930611058
III	3376644	3	627149.443462775
III	3537343	3	627149.956314213
III	3544767	3	627149.956314263
III	3563774	3	627149.956314313
III	3566661	3	627149.956314363
III	3575434	3	627149.956314413
III	3614641	3	627150.469152387
III	3634575	3	627150.983142003
III	3636365	3	627151.282216937
III	3636635	3	627151.282216987
III	3651837	3	627151.581291884
III	3690834	3	627152.09526801
III	3718496	3	627152.608159527
III	3720049	3	627153.120997783
III	3723598	3	627153.120997833
III	3862425	3	627153.120997883
III	3899307	3	627153.633836244
III	3902911	3	627154.146741159
III	3933378	3	627154.659592518
III	3938197	3	627154.659592568
III	4013034	3	627154.659592618
III	4020398	3	627154.659592668
III	4020399	3	627154.659592718
III	4079215	3	627154.659592768
III	4087417	3	627154.955836821
III	4191288	3	627154.955836871
III	4217312	3	627154.955836921
III	4426456	3	627154.955836971
III	4445021	3	627154.955837021
III	4630515	3	627154.955837071
III	4631297	3	627154.955837121
III	4684648	3	627154.955837171
III	4687925	3	627154.955837221
III	4791837	3	627154.955837271
III	4809736	3	627154.955837855
III	5100520	3	627154.955837905
III	6863619	3	627155.251006587
III	8532900	3	627155.764965723
III	8547935	3	627155.764965773
III	9499432	3	627155.764965823
III	9501714	3	627155.764965873
III	9520859	3	627155.764965923
III	9620552	3	627155.764965973
III	9630542	3	627155.764966023
III	9784229	3	627155.764966073
III	9898826	3	627156.277791355
III	9924393	3	627156.277791405
III	9998374	3	627156.277791455
III	10008655	3	627156.277791505
III	10372606	3	627156.277791555
III	10588096	3	627156.791730854
III	10595663	3	627157.090835598
III	10597391	3	627157.090835648
III	10945626	3	627157.391016141
III	10947092	3	627157.691090223
III	10972909	3	627157.691090273
III	10989848	3	627157.990072725
III	10998900	3	627158.50404936
III	11081739	3	627159.016927455
III	11100388	3	627159.529805592
III	11217618	3	627160.042697153
III	11228179	3	627160.555535447
III	11236739	3	627160.555535497
III	11333845	3	627160.555535547
III	11340043	3	627160.555535597
III	11573988	3	627160.555535647
III	11587433	3	627160.555535697
III	11618204	3	627160.555535747
III	11719953	3	627161.068387462
III	11721173	3	627161.581238967
III	11729893	3	627161.581239017
III	11853945	3	627161.581239067
III	11860259	3	627161.581239117
III	11898153	3	627161.581239167
III	11976981	3	627161.581239217
III	11978179	3	627161.581239267
III	11996492	3	627161.581239317
III	11999278	3	627161.581239367
III	12019503	3	627161.581239417
III	12021201	3	627161.884767641
III	12021238	3	627162.191594038
III	12026200	3	627162.4951075
III	12064333	3	627162.800874943
III	12090790	3	627163.314812378
III	12097587	3	627163.827700708
III	12128882	3	627164.340538808
III	12142033	3	627164.340538858
III	12148621	3	627164.340538908
III	12156891	3	627164.340538958
III	12190350	3	627164.340539008
III	12222734	3	627164.340539058
III	12276140	3	627164.340539108
III	12284091	3	627164.340539158
III	12289386	3	627164.340539208
III	12303913	3	627164.853373883
III	12315988	3	627165.366278884
III	12382033	3	627165.879116902
III	12413300	3	627165.879116952
III	12488845	3	627165.879117002
III	12490001	3	627166.391299948
III	12493742	3	627166.391299998
III	12496493	3	627166.391300048
III	12514362	3	627166.391300098
III	12525955	3	627166.391300148
III	12541487	3	627166.391300198
III	12545485	3	627166.391300248
III	12561352	3	627166.391300298
III	12565691	3	627166.904157889
III	12569734	3	627167.415784765
III	12575989	3	627167.929725157
III	12576325	3	627168.234463336
III	12577993	3	627168.748786528
III	12582778	3	627169.053541249
III	12589660	3	627169.566802816
III	12602882	3	627169.566802866
III	12633967	3	627169.566802916
III	12650006	3	627169.566802966
III	12657095	3	627169.566803016
III	12662343	3	627170.07838679
III	12662344	3	627170.591244817
III	12665177	3	627170.591244867
III	12668091	3	627171.103438171
III	12680363	3	627171.103438221
III	12681079	3	627171.103438271
III	12696427	3	627171.103438321
III	12735171	3	627171.103438371
III	12750712	3	627171.616276829
III	12759709	3	627171.616276879
III	12777080	3	627171.616276929
III	12798202	3	627171.616276979
III	12802761	3	627171.616277029
III	12816686	3	627171.918791876
III	12818385	3	627172.433771443
III	12827680	3	627172.735236628
III	12837222	3	627173.249150685
III	12840463	3	627173.249150735
III	12846215	3	627173.249150785
III	12852069	3	627173.762018884
III	12855976	3	627174.274238301
III	12857288	3	627174.27423835
III	12868555	3	627174.274238401
III	12868721	3	627174.787520136
III	12892879	3	627175.0890014
III	12895052	3	627175.603994138
III	12918352	3	627175.90650863
III	12927053	3	627175.90650868
III	12933922	3	627175.90650873
III	12941014	3	627175.90650878
III	12954813	3	627175.90650883
III	12964421	3	627175.90650888
III	12970698	3	627176.420438741
III	12981790	3	627176.721348275
III	12999988	3	627176.721348325
III	13000735	3	627176.721348375
III	13004458	3	627177.02970525
III	13004646	3	627177.333193
III	13031162	3	627177.638974108
III	13049911	3	627178.152871292
III	13051792	3	627178.152871341
III	13057765	3	627178.152871392
III	13087297	3	627178.152871441
III	13106078	3	627178.152871492
III	13116105	3	627178.152871541
III	13144020	3	627178.665696889
III	13148879	3	627178.665696939
III	13158920	3	627178.665696989
III	13160255	3	627179.177887181
III	13160527	3	627179.177887231
III	13165833	3	627179.177887281
III	13176832	3	627179.690090594
III	13183431	3	627179.690090643
III	13196261	3	627179.690090694
III	13211327	3	627180.2040408
III	13219381	3	627180.500414659
III	13252480	3	627180.500414709
III	13255893	3	627180.500414759
III	13264721	3	627181.016960871
III	13267943	3	627181.315940549
III	13272509	3	627181.315940599
III	13282360	3	627181.315940649
III	13289738	3	627181.315940699
III	13299228	3	627181.315940749
III	13302432	3	627181.315940799
III	13324872	3	627181.828765698
III	13396185	3	627181.828765748
III	13403293	3	627181.828765798
III	13407677	3	627181.828765848
III	13411703	3	627181.828765898
III	13418099	3	627181.828765948
III	13428338	3	627181.828765998
III	13441246	3	627181.828766048
III	13452728	3	627181.828766098
III	13454786	3	627181.828766148
III	13462053	3	627181.828766198
III	13464865	3	627182.275202535
III	13470082	3	627182.786091325
III	13480278	3	627183.761803621
III	13486028	3	627183.761803671
III	13491697	3	627183.761803721
III	13504389	3	627183.761803771
III	13514304	3	627183.761803821
III	13517806	3	627184.065056239
III	13518432	3	627184.368586501
III	13522241	3	627184.672137202
III	13528359	3	627184.975681384
III	13539196	3	627184.975681435
III	13546287	3	627184.975681484
III	13556173	3	627184.975681535
III	13576694	3	627184.975681584
III	13590711	3	627184.975681635
III	13591932	3	627185.48850347
III	13598558	3	627185.48850352
III	13607806	3	627185.48850357
III	13615761	3	627185.48850362
III	13619642	3	627185.48850367
III	13697187	3	627186.001355124
III	13711059	3	627186.514208937
III	13756574	3	627186.514208987
III	13756869	3	627186.816734814
III	13765378	3	627187.331727414
III	13769911	3	627187.633195763
III	13803331	3	627188.147162756
III	13817381	3	627188.66005604
III	13817757	3	627188.66005609
III	13831363	3	627189.172949005
III	13837774	3	627189.172949055
III	13855735	3	627189.172949105
III	13864610	3	627189.685139287
III	13893695	3	627189.685139337
III	13898178	3	627189.685139387
III	13903082	3	627189.685139437
III	13918604	3	627189.685139487
III	13924147	3	627189.685139537
III	13925028	3	627189.685139587
