Chr	BP	num_rep	species
III	3800001	2857	briggsae
III	3810001	3142	briggsae
III	3820001	3674	briggsae
III	3830001	5224	briggsae
III	3840001	3361	briggsae
III	3850001	694	briggsae
III	3860001	1979	briggsae
III	3870001	717	briggsae
III	3880001	2811	briggsae
III	3890001	3457	briggsae
III	3900001	3565	briggsae
III	3910001	3039	briggsae
III	3920001	2033	briggsae
III	3930001	2442	briggsae
III	3940001	3544	briggsae
III	3950001	4464	briggsae
III	3960001	2709	briggsae
III	3970001	3680	briggsae
III	3980001	3070	briggsae
III	3990001	3813	briggsae
III	4000001	1797	briggsae
III	4010001	2009	briggsae
III	4020001	1766	briggsae
III	4030001	2724	briggsae
III	4040001	1680	briggsae
III	4050001	1432	briggsae
III	4060001	624	briggsae
III	4070001	1272	briggsae
III	4080001	1614	briggsae
III	4090001	3922	briggsae
III	4100001	4407	briggsae
III	4110001	2259	briggsae
III	4120001	2918	briggsae
III	4130001	1769	briggsae
III	4140001	1615	briggsae
III	4150001	3760	briggsae
III	4160001	2249	briggsae
III	4170001	786	briggsae
III	4180001	1319	briggsae
III	4190001	2524	briggsae
III	4200001	2686	briggsae
III	4210001	3324	briggsae
III	4220001	3259	briggsae
III	4230001	3094	briggsae
III	4240001	964	briggsae
III	4250001	0	briggsae
III	4260001	2705	briggsae
III	4270001	2801	briggsae
III	4280001	1908	briggsae
III	4290001	1328	briggsae
III	4300001	3407	briggsae
III	4310001	2912	briggsae
III	4320001	371	briggsae
III	4330001	83	briggsae
III	4340001	2601	briggsae
III	4350001	2228	briggsae
III	4360001	630	briggsae
III	4370001	983	briggsae
III	4380001	1665	briggsae
III	4390001	2823	briggsae
III	4400001	3950	briggsae
III	4410001	1160	briggsae
III	4420001	1086	briggsae
III	4430001	4282	briggsae
III	4440001	2912	briggsae
III	4450001	2647	briggsae
III	4460001	3936	briggsae
III	4470001	4469	briggsae
III	4480001	2947	briggsae
III	4490001	4675	briggsae
III	4500001	3977	briggsae
III	4510001	4179	briggsae
III	4520001	2587	briggsae
III	4530001	2521	briggsae
III	4540001	830	briggsae
III	4550001	2282	briggsae
III	4560001	2318	briggsae
III	4570001	3327	briggsae
III	4580001	2179	briggsae
III	4590001	1616	briggsae
III	4600001	34	briggsae
III	4610001	5739	briggsae
III	4620001	7067	briggsae
III	4630001	1512	briggsae
III	4640001	1511	briggsae
III	4650001	1853	briggsae
III	4660001	2767	briggsae
III	4670001	873	briggsae
III	4680001	114	briggsae
III	4690001	384	briggsae
III	4700001	2841	briggsae
III	4710001	5290	briggsae
III	4720001	1032	briggsae
III	4730001	608	briggsae
III	4740001	2405	briggsae
III	4750001	371	briggsae
III	4760001	5906	briggsae
III	4770001	2098	briggsae
III	4780001	2967	briggsae
III	4790001	1221	briggsae
III	4800001	1451	briggsae
III	4810001	5775	briggsae
III	4820001	4373	briggsae
III	4830001	3199	briggsae
III	4840001	2940	briggsae
III	4850001	1005	briggsae
III	4860001	1382	briggsae
III	4870001	3139	briggsae
III	4880001	4401	briggsae
III	4890001	4538	briggsae
III	4900001	4431	briggsae
III	4910001	2533	briggsae
III	4920001	2902	briggsae
III	4930001	3139	briggsae
III	4940001	2034	briggsae
III	4950001	553	briggsae
III	4960001	0	briggsae
III	4970001	1565	briggsae
III	4980001	1526	briggsae
III	4990001	3256	briggsae
III	5000001	1292	briggsae
III	5010001	3214	briggsae
III	5020001	1855	briggsae
III	5030001	305	briggsae
III	5040001	3007	briggsae
III	5050001	3855	briggsae
III	5060001	3748	briggsae
III	5070001	2089	briggsae
III	5080001	1777	briggsae
III	5090001	3025	briggsae
III	5100001	3325	briggsae
III	5110001	581	briggsae
III	5120001	1824	briggsae
III	5130001	3885	briggsae
III	5140001	916	briggsae
III	5150001	2929	briggsae
III	5160001	889	briggsae
III	5170001	2228	briggsae
III	5180001	3814	briggsae
III	5190001	1219	briggsae
III	5200001	566	briggsae
III	5210001	1763	briggsae
III	5220001	887	briggsae
III	5230001	2004	briggsae
III	5240001	2202	briggsae
III	5250001	2451	briggsae
III	5260001	3606	briggsae
III	5270001	1434	briggsae
III	5280001	1925	briggsae
III	5290001	3608	briggsae
III	5300001	2026	briggsae
III	5310001	34	briggsae
III	5320001	656	briggsae
III	5330001	996	briggsae
III	5340001	3746	briggsae
III	5350001	3870	briggsae
III	5360001	911	briggsae
III	5370001	1801	briggsae
III	5380001	3552	briggsae
III	5390001	966	briggsae
III	5400001	2138	briggsae
III	5410001	3959	briggsae
III	5420001	2522	briggsae
III	5430001	1245	briggsae
III	5440001	2000	briggsae
III	5450001	2474	briggsae
III	5460001	1173	briggsae
III	5470001	1228	briggsae
III	5480001	2778	briggsae
III	5490001	4449	briggsae
III	5500001	2644	briggsae
III	5510001	1498	briggsae
III	5520001	1172	briggsae
III	5530001	3242	briggsae
III	5540001	619	briggsae
III	5550001	2795	briggsae
III	5560001	2150	briggsae
III	5570001	3525	briggsae
III	5580001	3141	briggsae
III	5590001	2144	briggsae
III	5600001	3140	briggsae
III	5610001	2210	briggsae
III	5620001	3133	briggsae
III	5630001	1822	briggsae
III	5640001	487	briggsae
III	5650001	1457	briggsae
III	5660001	2797	briggsae
III	5670001	2619	briggsae
III	5680001	1281	briggsae
III	5690001	941	briggsae
III	5700001	67	briggsae
III	5710001	2244	briggsae
III	5720001	640	briggsae
III	5730001	160	briggsae
III	5740001	1149	briggsae
III	5750001	545	briggsae
III	5760001	1546	briggsae
III	5770001	3904	briggsae
III	5780001	2210	briggsae
III	5790001	6820	briggsae
III	5800001	4979	briggsae
III	5810001	2940	briggsae
III	5820001	472	briggsae
III	5830001	2037	briggsae
III	5840001	1785	briggsae
III	5850001	1997	briggsae
III	5860001	2245	briggsae
III	5870001	2270	briggsae
III	5880001	3347	briggsae
III	5890001	3042	briggsae
III	5900001	2373	briggsae
III	5910001	3828	briggsae
III	5920001	2816	briggsae
III	5930001	1378	briggsae
III	5940001	2806	briggsae
III	5950001	1481	briggsae
III	5960001	1413	briggsae
III	5970001	2525	briggsae
III	5980001	2249	briggsae
III	5990001	971	briggsae
III	6000001	2227	briggsae
III	6010001	83	briggsae
III	6020001	2846	briggsae
III	6030001	3975	briggsae
III	6040001	4190	briggsae
III	6050001	2544	briggsae
III	6060001	3406	briggsae
III	6070001	1831	briggsae
III	6080001	2748	briggsae
III	6090001	464	briggsae
III	6100001	3988	briggsae
III	6110001	1434	briggsae
III	6120001	862	briggsae
III	6130001	2335	briggsae
III	6140001	2057	briggsae
III	6150001	406	briggsae
III	6160001	626	briggsae
III	6170001	2011	briggsae
III	6180001	1284	briggsae
III	6190001	4215	briggsae
III	6200001	2295	briggsae
III	6210001	2311	briggsae
III	6220001	2277	briggsae
III	6230001	1461	briggsae
III	6240001	2088	briggsae
III	6250001	1741	briggsae
III	6260001	1753	briggsae
III	6270001	2154	briggsae
III	6280001	2149	briggsae
III	6290001	2940	briggsae
III	6300001	1439	briggsae
III	6310001	233	briggsae
III	6320001	3097	briggsae
III	6330001	2157	briggsae
III	6340001	1278	briggsae
III	6350001	364	briggsae
III	6360001	157	briggsae
III	6370001	1331	briggsae
III	6380001	2320	briggsae
III	6390001	844	briggsae
III	6400001	2816	briggsae
III	6410001	3595	briggsae
III	6420001	2625	briggsae
III	6430001	682	briggsae
III	6440001	2305	briggsae
III	6450001	3122	briggsae
III	6460001	3567	briggsae
III	6470001	184	briggsae
III	6480001	1659	briggsae
III	6490001	367	briggsae
III	6500001	2214	briggsae
III	6510001	3592	briggsae
III	6520001	1701	briggsae
III	6530001	1809	briggsae
III	6540001	2330	briggsae
III	6550001	6544	briggsae
III	6560001	2718	briggsae
III	6570001	2119	briggsae
III	6580001	1497	briggsae
III	6590001	2087	briggsae
III	6600001	2440	briggsae
III	6610001	1132	briggsae
III	6620001	4088	briggsae
III	6630001	2186	briggsae
III	6640001	596	briggsae
III	6650001	1653	briggsae
III	6660001	3007	briggsae
III	6670001	1832	briggsae
III	6680001	2545	briggsae
III	6690001	2233	briggsae
III	6700001	2606	briggsae
III	6710001	2617	briggsae
III	6720001	2146	briggsae
III	6730001	2784	briggsae
III	6740001	1685	briggsae
III	6750001	889	briggsae
III	6760001	1717	briggsae
III	6770001	3389	briggsae
III	6780001	870	briggsae
III	6790001	1597	briggsae
III	6800001	1297	briggsae
III	6810001	1193	briggsae
III	6820001	2474	briggsae
III	6830001	682	briggsae
III	6840001	65	briggsae
III	6850001	3568	briggsae
III	6860001	868	briggsae
III	6870001	3972	briggsae
III	6880001	1604	briggsae
III	6890001	3092	briggsae
III	6900001	1262	briggsae
III	6910001	2728	briggsae
III	6920001	1434	briggsae
III	6930001	522	briggsae
III	6940001	1288	briggsae
III	6950001	3151	briggsae
III	6960001	1418	briggsae
III	6970001	3037	briggsae
III	6980001	431	briggsae
III	6990001	1010	briggsae
III	7000001	2233	briggsae
III	7010001	1065	briggsae
III	7020001	0	briggsae
III	7030001	2614	briggsae
III	7040001	1141	briggsae
III	7050001	1777	briggsae
III	7060001	2560	briggsae
III	7070001	2793	briggsae
III	7080001	1897	briggsae
III	7090001	3026	briggsae
III	7100001	416	briggsae
III	7110001	1374	briggsae
III	7120001	892	briggsae
III	7130001	1465	briggsae
III	7140001	3464	briggsae
III	7150001	3294	briggsae
III	7160001	165	briggsae
III	7170001	2503	briggsae
III	7180001	3086	briggsae
III	7190001	2362	briggsae
III	7200001	1599	briggsae
III	7210001	679	briggsae
III	7220001	1157	briggsae
III	7230001	1999	briggsae
III	7240001	2607	briggsae
III	7250001	3210	briggsae
III	7260001	2893	briggsae
III	7270001	257	briggsae
III	7280001	26	briggsae
III	7290001	1737	briggsae
III	7300001	2839	briggsae
III	7310001	1316	briggsae
III	7320001	2298	briggsae
III	7330001	4774	briggsae
III	7340001	1545	briggsae
III	7350001	523	briggsae
III	7360001	1129	briggsae
III	7370001	1464	briggsae
III	7380001	3565	briggsae
III	7390001	1630	briggsae
III	7400001	1324	briggsae
III	7410001	1573	briggsae
III	7420001	875	briggsae
III	7430001	982	briggsae
III	7440001	1624	briggsae
III	7450001	1254	briggsae
III	7460001	2265	briggsae
III	7470001	1587	briggsae
III	7480001	2166	briggsae
III	7490001	2160	briggsae
III	7500001	1930	briggsae
III	7510001	782	briggsae
III	7520001	1118	briggsae
III	7530001	212	briggsae
III	7540001	1572	briggsae
III	7550001	2287	briggsae
III	7560001	944	briggsae
III	7570001	3654	briggsae
III	7580001	3642	briggsae
III	7590001	568	briggsae
III	7600001	4608	briggsae
III	7610001	1752	briggsae
III	7620001	555	briggsae
III	7630001	1484	briggsae
III	7640001	1568	briggsae
III	7650001	2218	briggsae
III	7660001	2535	briggsae
III	7670001	67	briggsae
III	7680001	1914	briggsae
III	7690001	0	briggsae
III	7700001	38	briggsae
III	7710001	809	briggsae
III	7720001	2322	briggsae
III	7730001	241	briggsae
III	7740001	1221	briggsae
III	7750001	2114	briggsae
III	7760001	844	briggsae
III	7770001	1918	briggsae
III	7780001	2080	briggsae
III	7790001	1699	briggsae
III	7800001	6029	briggsae
III	7810001	3444	briggsae
III	7820001	1512	briggsae
III	7830001	1750	briggsae
III	7840001	2956	briggsae
III	7850001	1173	briggsae
III	7860001	559	briggsae
III	7870001	3675	briggsae
III	7880001	1963	briggsae
III	7890001	1714	briggsae
III	7900001	152	briggsae
III	7910001	254	briggsae
III	7920001	2030	briggsae
III	7930001	5134	briggsae
III	7940001	1629	briggsae
III	7950001	2410	briggsae
III	7960001	2856	briggsae
III	7970001	815	briggsae
III	7980001	3211	briggsae
III	7990001	2189	briggsae
III	8000001	2652	briggsae
III	8010001	2501	briggsae
III	8020001	2245	briggsae
III	8030001	1875	briggsae
III	8040001	1655	briggsae
III	8050001	5344	briggsae
III	8060001	7772	briggsae
III	8070001	691	briggsae
III	8080001	1554	briggsae
III	8090001	2536	briggsae
III	8100001	1840	briggsae
III	8110001	844	briggsae
III	8120001	3363	briggsae
III	8130001	366	briggsae
III	8140001	1586	briggsae
III	8150001	1780	briggsae
III	8160001	2414	briggsae
III	8170001	1488	briggsae
III	8180001	744	briggsae
III	8190001	1118	briggsae
III	8200001	1519	briggsae
III	8210001	2817	briggsae
III	8220001	2607	briggsae
III	8230001	1245	briggsae
III	8240001	2166	briggsae
III	8250001	2537	briggsae
III	8260001	1167	briggsae
III	8270001	1872	briggsae
III	8280001	1507	briggsae
III	8290001	1976	briggsae
III	8300001	1091	briggsae
III	8310001	5154	briggsae
III	8320001	534	briggsae
III	8330001	413	briggsae
III	8340001	2837	briggsae
III	8350001	2062	briggsae
III	8360001	1055	briggsae
III	8370001	1434	briggsae
III	8380001	4342	briggsae
III	8390001	3784	briggsae
III	8400001	1536	briggsae
III	8410001	1006	briggsae
III	8420001	1494	briggsae
III	8430001	1636	briggsae
III	8440001	3461	briggsae
III	8450001	1403	briggsae
III	8460001	1862	briggsae
III	8470001	1077	briggsae
III	8480001	1392	briggsae
III	8490001	831	briggsae
III	8500001	2243	briggsae
III	8510001	2501	briggsae
III	8520001	4834	briggsae
III	8530001	2416	briggsae
III	8540001	1289	briggsae
III	8550001	1904	briggsae
III	8560001	2801	briggsae
III	8570001	1506	briggsae
III	8580001	158	briggsae
III	8590001	906	briggsae
III	8600001	2201	briggsae
III	8610001	0	briggsae
III	8620001	676	briggsae
III	8630001	1615	briggsae
III	8640001	67	briggsae
III	8650001	234	briggsae
III	8660001	490	briggsae
III	8670001	898	briggsae
III	8680001	879	briggsae
III	8690001	0	briggsae
III	8700001	1846	briggsae
III	8710001	2795	briggsae
III	8720001	517	briggsae
III	8730001	1035	briggsae
III	8740001	3743	briggsae
III	8750001	1815	briggsae
III	8760001	1048	briggsae
III	8770001	607	briggsae
III	8780001	1912	briggsae
III	8790001	1703	briggsae
III	8800001	3129	briggsae
III	8810001	1019	briggsae
III	8820001	1993	briggsae
III	8830001	1598	briggsae
III	8840001	49	briggsae
III	8850001	140	briggsae
III	8860001	4048	briggsae
III	8870001	4215	briggsae
III	8880001	2603	briggsae
III	8890001	2974	briggsae
III	8900001	2866	briggsae
III	8910001	4512	briggsae
III	8920001	2475	briggsae
III	8930001	3659	briggsae
III	8940001	3593	briggsae
III	8950001	126	briggsae
III	8960001	2349	briggsae
III	8970001	647	briggsae
III	8980001	2514	briggsae
III	8990001	1706	briggsae
III	9000001	2455	briggsae
III	9010001	1014	briggsae
III	9020001	1810	briggsae
III	9030001	2179	briggsae
III	9040001	2326	briggsae
III	9050001	2575	briggsae
III	9060001	3406	briggsae
III	9070001	2389	briggsae
III	9080001	1447	briggsae
III	9090001	1714	briggsae
III	9100001	239	briggsae
III	9110001	1209	briggsae
III	9120001	1939	briggsae
III	9130001	1492	briggsae
III	9140001	1066	briggsae
III	9150001	4267	briggsae
III	9160001	1795	briggsae
III	9170001	1052	briggsae
III	9180001	3126	briggsae
III	9190001	771	briggsae
III	9200001	2474	briggsae
III	9210001	1900	briggsae
III	9220001	2152	briggsae
III	9230001	944	briggsae
III	9240001	32	briggsae
III	9250001	1454	briggsae
III	9260001	26	briggsae
III	9270001	152	briggsae
III	9280001	3349	briggsae
III	9290001	4542	briggsae
III	9300001	343	briggsae
III	9310001	1430	briggsae
III	9320001	1784	briggsae
III	9330001	2475	briggsae
III	9340001	2411	briggsae
III	9350001	339	briggsae
III	9360001	683	briggsae
III	9370001	2089	briggsae
III	9380001	2279	briggsae
III	9390001	2717	briggsae
III	9400001	2942	briggsae
III	9410001	1204	briggsae
III	9420001	1514	briggsae
III	9430001	1012	briggsae
III	9440001	1877	briggsae
III	9450001	1701	briggsae
III	9460001	792	briggsae
III	9470001	1882	briggsae
III	9480001	1784	briggsae
III	9490001	2125	briggsae
III	9500001	2244	briggsae
III	9510001	1575	briggsae
III	9520001	1780	briggsae
III	9530001	1216	briggsae
III	9540001	2130	briggsae
III	9550001	1402	briggsae
III	9560001	1252	briggsae
III	9570001	3851	briggsae
III	9580001	1749	briggsae
III	9590001	2187	briggsae
III	9600001	297	briggsae
III	9610001	1153	briggsae
III	9620001	1636	briggsae
III	9630001	3874	briggsae
III	9640001	2276	briggsae
III	9650001	2001	briggsae
III	9660001	685	briggsae
III	9670001	2596	briggsae
III	9680001	2337	briggsae
III	9690001	2012	briggsae
III	9700001	1709	briggsae
III	9710001	2219	briggsae
III	9720001	2070	briggsae
III	9730001	2338	briggsae
III	9740001	1518	briggsae
III	9750001	3444	briggsae
III	9760001	4054	briggsae
III	9770001	3186	briggsae
III	9780001	1484	briggsae
III	9790001	3522	briggsae
III	9800001	2853	briggsae
III	9810001	2757	briggsae
III	9820001	2443	briggsae
III	9830001	2233	briggsae
III	9840001	3973	briggsae
III	9850001	4057	briggsae
III	9860001	3686	briggsae
III	9870001	2682	briggsae
III	9880001	3242	briggsae
III	9890001	1242	briggsae
III	9900001	2822	briggsae
III	9910001	2083	briggsae
III	9920001	2707	briggsae
III	9930001	3090	briggsae
III	9940001	1281	briggsae
III	9950001	296	briggsae
III	9960001	4244	briggsae
III	9970001	3116	briggsae
III	9980001	2605	briggsae
III	9990001	2480	briggsae
III	10000001	1344	briggsae
III	10010001	2149	briggsae
III	10020001	2890	briggsae
III	10030001	1565	briggsae
III	10040001	2146	briggsae
III	10050001	1852	briggsae
III	10060001	2640	briggsae
III	10070001	4284	briggsae
III	10080001	2392	briggsae
III	10090001	1617	briggsae
III	10100001	4097	briggsae
III	10110001	3733	briggsae
III	10120001	1185	briggsae
III	10130001	1210	briggsae
III	10140001	3443	briggsae
